,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,pegRatio,shortPercentOfFloat,regularMarketPrice,forwardPE,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,fiveYearAvgDividendYield,dividendYield,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,EPS next 5Y,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Sales past 5Y,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,Payout,SMA20,SMA50,SMA200,Inst Own,Dividend %,Avg Volume
ARNC,19.06,20.22,14.967193,20.66,19.06,20.81206,20.22,,19.6,15.089021,0.35152328,19.6,20.51,23.7,5.8,20.3,20.66,0.462,0.02329,5.36,1.7543352,1.98,10.507,0.0379,0.34616002,1.348,0.11441445,1.9358523,0.0069,4.14,,2.32,0.0379,20.22,10.272727,0.006295908,,0.12,,,,2290000000.0,0.0672,0.013000000000000001,109000000000.0,-0.052199999999999996,2.3199,0.058499999999999996,108250000000.0,-0.0809,,0.0382,0.2509,6310000000.0,0.318,1.5992,,,,0.1409,,1.9393,,0.11,-0.1418,-0.026000000000000002,,2.5069,-0.38299999999999995,,,,0.0,-0.07980000000000001,0.06480000000000001,0.359,0.935,,1250000000.0
ARVN,,25.04,37.848335,27.61,,27.545294,25.04,,25.04,,22.498676,25.04,26.87,61.57,15.19,,27.61,15.827,-1.82585,-11.44,-0.0019959807,-2.9,5.094,0.0857,0.76769996,-2.345,0.11441445,5.2826858,0.13054,9.84,,,0.108100004,25.04,-9.27931,,,,,,,2049999999.9999998,0.0764,0.031,38740000000.0,0.0935,-0.115,-0.0203,24530000000.0,-0.0275,-85700000000.0,0.13699999999999998,-0.1291,46900000000.0,0.722,0.0604,-0.1845,-0.325,0.0674,,-0.445,-0.34509999999999996,,,-0.5629,,,0.7720999999999999,0.425,,-0.193,,,0.0602,-0.09609999999999999,-0.3328,0.9329999999999999,,
AXNX,38.44,39.13,35.618694,42.04,38.44,41.972057,39.13,,39.0544,,31.272938,39.0544,,46.15,15.25,39.34,42.04,23.926,-1.55705,-15.703,0.26990414,-1.2,7.549,0.1348,1.02756,-2.556,0.11441445,5.530534,0.09899,10.93,,0.16,0.1708,39.13,-34.791664,,,,,,,1620000000.0,0.0861,0.018000000000000002,36440000000.0,0.15810000000000002,0.375,-0.433,30530000000.0,-0.044000000000000004,-82200000000.0,0.1745,0.0924,52800000000.0,-1.395,0.1975,1.072,-0.36,0.34590000000000004,,-0.441,0.5067,,-0.396,-0.0953,,0.5539999999999999,1.7377,9.133,,0.204,,,0.0102,0.014199999999999999,0.2422,,,
AXSM,73.03,74.4,75.62065,,73.03,76.01941,74.4,2.818746,74.4,,,74.4,86.44,109.94,13.64,79.31,,,,-27.305,1.5044582,-2.86,4.139,0.1031,0.61098,-2.643,0.11441445,20.066442,0.22226,10.67,,,0.13229999,74.4,-29.04021,,,,,,,3100000000.0,0.1373,0.2223,37100000000.0,0.21530000000000002,-0.107,0.0002,29400000000.0,0.041299999999999996,-94800000000.0,0.1307,0.1099,,-0.7440000000000001,0.063,0.9342,-0.58,2.0944,,-0.764,-0.19640000000000002,-0.428,,-0.2445,,,5.0891,,,-0.213,,,0.09960000000000001,0.06849999999999999,0.0711,0.645,,
BBIO,33.56,33.9,29.40884,36.9,33.56,29.357353,33.9,,33.9,,109.993065,33.9,36.52,48.36,14.23,36.44,36.9,93.85,,,0.32230115,-2.36,3.918,0.0923,0.96074,-4.729,0.11441445,9.305768,0.12478,31.7,,0.12,0.2206,33.9,-15.449153,,,,,,,4400000000.0,0.0864,0.065,117010000000.0,0.2607,0.11699999999999999,-0.2808,70030000000.0,0.2525,-346300000000.0,0.1613,0.172,40600000000.0,-1.181,0.04019999999999999,1.0656999999999999,-0.43700000000000006,0.4072,,-0.915,0.04019999999999999,,-0.5329999999999999,-0.24609999999999999,,0.938,1.5622,,,0.114,,,0.2273,0.2254,0.1723,0.9606999999999999,,
BEAM,25.65,25.96,22.220615,27.41,25.65,23.487206,25.96,,25.76,,58758.93,25.76,27.36,31.8,,27.27,27.41,45289.31,,-11.456,0.36800003,-2.5,4.649,0.0647,0.23312001,-5.076,0.11441445,5.8636265,0.13614,4.71,,,0.0945,25.96,-10.904,,,,,,,1410000000.0,0.06280000000000001,0.019,49430000000.0,0.2487,0.113,0.0,44630000000.0,0.2159,-119300000000.0,0.075,0.015300000000000001,20000000.0,0.22399999999999998,0.036699999999999997,1.0481,-0.503,,,-4.01,0.4539,,,-0.14279999999999998,,,1.0969,0.0,,0.16699999999999998,,,0.09949999999999999,0.13119999999999998,0.2126,0.529,,
BLFS,23.77,24.02,15.731812,26.15,23.77,20.792646,24.02,1.695652,24.02,44.689655,22.429329,24.02,26.09,26.15,7.37,26.01,26.15,19.787,0.51862997,255.684,0.15332365,0.17,4.074,0.039300002,0.58073,0.58,0.11441445,6.3622975,0.2702,4.76,,8.12,0.0517,24.02,152.47058,,,,,,,821660000000.0,0.09050000000000001,0.019,23290000000.0,0.1718,-0.4096,1.0925,19040000000.0,0.3736,3000000000.0,0.066,0.5614,37000000000.0,0.945,0.19329999999999997,2.1005000000000003,0.031,0.2787,0.1,0.040999999999999995,0.602,0.22699999999999998,0.263,0.049400000000000006,0.34600000000000003,0.615,2.517,0.478,0.24100000000000002,-5.059,0.081,0.0,0.2189,0.2748,0.6522,0.489,,
BPMC,66.45,67.52,68.4458,72.2,66.45,74.07206,67.52,1.033444,67.52,,53.028336,67.52,79.4,87.43,43.29,,72.2,43.151,,-8.112,-0.17962968,-7.27,10.71,0.0673,0.97899,-7.698,0.11441445,6.734827,0.01426,11.62,,1.84,0.0784,67.52,-9.921596,,,,,,,4110000000.0000005,0.0855,0.009000000000000001,54220000000.0,-0.0125,-5.353,-0.18420000000000003,53670000000.0,-0.0416,-395000000000.0,0.0693,-0.0123,75200000000.0,-0.348,0.0356,0.4993,-0.49700000000000005,-0.0863,0.2227,-0.7040000000000001,-0.09960000000000001,-0.325,-0.778,-0.175,,0.998,0.6662,0.627,,-0.11599999999999999,,,-0.0222,-0.0426,0.0337,0.9790000000000001,,
BTAI,44.94,45.5,40.43377,48.94,44.94,43.87588,45.5,1.64418,45.23,,,45.23,47.99,71.5,3.76,47.92,48.94,,,-17.478,3.2637572,-3.45,2.623,0.0964,0.28522,-2.936,0.11441445,18.330158,0.48511,2.89,,0.18,0.1703,45.5,-13.936233,,,,,,,1050000000.0,0.0699,0.001,20290000000.0,0.17129999999999998,0.011000000000000001,0.0,12660000000.0,0.0754,-53600000000.0,0.1703,-0.0897,,-0.53,0.3249,2.2508,-0.907,3.6054000000000004,,-1.145,2.2909,,,-0.3276,,,11.7872,,,-0.9520000000000001,,,0.1642,0.016399999999999998,0.46399999999999997,0.41600000000000004,,
BYND,134.88,136.15,115.837105,145.37,134.88,129.52794,136.15,,136.05,,22.287388,136.05,143.79,167.16,48.18,143.35,145.37,20.617,-0.011829999,598.916,-0.15153801,0.61,6.246,0.1165,0.31215,-0.08,0.11441445,22.923471,0.18378,1.86,,-4.62,0.13,136.15,234.7213,,,,,,,9480000000.0,0.061500000000000006,0.035,62100000000.0,0.138,3.5185000000000004,-0.3135,54440000000.0,0.1275,-4700000000.0,0.1336,-0.0703,400900000000.0,0.426,0.1231,1.3262,-0.01,-0.0821,,-0.012,0.8939,,-0.001,-0.1435,,0.34299999999999997,1.9718,0.684,-0.009000000000000001,0.32,-0.012,,0.10189999999999999,0.09539999999999998,0.30210000000000004,0.32899999999999996,,5050000000.0
CAKE,28.21,28.55,23.295362,30.76,28.21,27.28,28.55,1.513935,28.53,,0.6338064,28.53,30.73,45.24,14.52,30.5,30.76,1.357,-0.05836,45.487,-0.3439535,1.22,7.741,0.2974,1.01823,-3.242,0.11441445,3.9620204,0.07064,8.65,,2.52,0.36470002,28.55,25.139343,0.038284298,,1.08,,2.55,,1470000000.0,0.0872,0.0706,43870000000.0,-0.017,2.043,0.0,42230000000.0,0.1359,-141900000000.0,0.32020000000000004,0.2205,2190000000.0,0.33399999999999996,0.08070000000000001,0.8137000000000001,-0.053,-0.2797,-0.1007,-0.302,-0.2108,0.078,0.105,-0.3221,0.047,0.77,1.1123,-0.509,-0.11,-3.0260000000000002,-0.065,,0.0725,0.1949,0.0756,,,2350000000.0
