,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,pegRatio,shortPercentOfFloat,regularMarketPrice,forwardPE,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,fiveYearAvgDividendYield,dividendYield,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,EPS next 5Y,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Sales past 5Y,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,Payout,SMA20,SMA50,SMA200,Inst Own,Dividend %,Avg Volume
CZR,55.39,55.47,20.827644,59.41,55.39,42.105,55.47,55.41,5.1141706,55.41,59.3,-41.244755,3.22,,59.41,5.84,-0.13575,25.688,3.662458,-1.43,16.4,0.0868,,-3.218,0.12570786,3.5963416,,2.81,-0.29,0.1066,55.47,70.74,2.944258,,,,,,9610000000.0,0.06480000000000001,0.055999999999999994,160830000000.0,0.18100000000000002,0.784,0.0,160640000000.0,0.4274,-251800000000.0,0.774,0.08689999999999999,0.4459,1850000000.0,-0.153,0.5149,4.845400000000001,0.013999999999999999,0.36119999999999997,0.275,0.076,-0.0111,0.077,-0.16620000000000001,0.49200000000000005,8.7973,-0.256,-5.632000000000001,7190000000.0,0.2481,0.4335,0.46259999999999996,0.32799999999999996,0.475,0.217,0.044000000000000004,0.0
EXLS,61.74,67.05,60.82435,69.16,61.74,64.928856,67.05,66.73,2.3457725,66.73,66.98,20.755419,40.61,,69.16,2.144,0.07294,15.998,-0.08749634,3.23,19.84,0.0222,0.95763,2.061,0.12570786,3.3790324,0.03366,7.23,3.29,0.031,67.05,79.78,1.089186,32.527897,-0.329,,,,2330000000.0,0.0858,0.001,34490000000.0,0.0679,0.1734,-0.075,33119999999.999996,-0.0116,71200000000.0,0.992,0.0229,0.0579,976700000000.0,0.2,0.036699999999999997,0.2762,0.059000000000000004,-0.008,0.0695,0.107,-0.0348,0.068,-0.15960000000000002,0.327,0.6507999999999999,-0.086,-0.327,,0.0444,0.0464,0.0414,0.151,0.147,0.085,0.073,0.0
GCO,24.06,24.22,18.81797,25.72,24.06,18.589428,24.22,23.75,0.20312072,23.75,25.53,7.055249,5.52,25.44,25.72,0.55,-0.052699998,23.735,-0.41729236,3.62,30.67,0.1337,1.1073899,-6.996,0.12570786,0.8327356,0.05786,6.76,-0.87,0.19780001,24.22,53.2,1.660535,,,,,,359090000000.0,0.061500000000000006,0.057999999999999996,14180000000.0,0.2273,2.316,-0.0297,13480000000.0,0.3247,-99100000000.0,0.991,0.1456,0.0767,1890000000.0,0.452,-0.0693,0.7315,,-0.39130000000000004,0.1,,-0.467,0.099,-0.5199,0.461,3.6310000000000002,-0.196,,,0.2937,0.3862,-0.0315,-0.012,-0.051,,,
INSM,30.35,30.71,24.508986,33.29,30.35,27.938,30.71,29.94,20.222168,29.94,34.34,-16.840204,12.09,32.66,33.29,16.071,-1.47539,-12.442,0.5840293,-1.94,3.996,0.1145,0.98282,-2.651,0.12570786,8.175675,0.0125899995,16.19,,0.1535,30.71,34.94,2.656633,,,,,,3360000000.0,0.0764,0.008,96630000000.0,0.15560000000000002,0.26,-0.0682,94680000000.0,0.2273,-241900000000.0,0.9828,0.12269999999999999,0.1589,163900000000.0,0.287,0.1588,1.1077,-0.315,0.7132,,-0.8220000000000001,0.36810000000000004,-0.382,-0.065,0.795,1.7022,0.41700000000000004,0.213,,0.16449999999999998,0.1807,0.3212,-0.10400000000000001,,,,
MRTX,145.74,148.01,107.04688,161.365,145.74,136.22658,148.01,144.01,3942.6394,144.01,157.91,-17.87415,66.01,158.18,161.365,2940.926,,-17.137,0.6516321,-8.82,13.601,0.1078,1.00546,-7.161,0.12570786,11.591059,0.09319,13.75,,0.1233,148.01,161.365,1.801003,,,,,,7080000000.0,0.0817,0.075,43830000000.0,0.15789999999999998,-0.07400000000000001,-0.17300000000000001,40850000000.0,0.1362,-296200000000.0,,0.1176,0.4631,1800000000.0,-0.787,0.0043,1.1562999999999999,-0.52,0.8219,,-0.57,0.2234,,0.0278,,1.3883,,-0.49700000000000005,,0.09880000000000001,0.2003,0.4961,-0.11900000000000001,,,,
NTLA,20.915,21.04,17.631159,22.87,20.915,19.908285,21.04,20.87,25.786072,20.87,22.79,-7.3256583,9.18,21.69,22.87,14.148,-2.28872,-6.234,0.41031694,-3.04,5.987,0.18530001,0.76405,-2.301,0.12570786,3.719726,0.19017,15.62,-0.26,0.2592,21.04,25.56,1.679824,,,,,,1290000000.0,0.06480000000000001,0.009000000000000001,53370000000.0,0.2748,-0.23600000000000002,-0.0755,48950000000.0,0.1197,-116100000000.0,0.83,0.2223,0.0555,50700000000.0,-0.063,0.2173,0.9231,-0.312,0.5212,0.3,-0.406,0.5181,,-0.12869999999999998,,1.4259,0.46799999999999997,-0.083,,0.1032,0.08289999999999999,0.32789999999999997,-0.506,,,,
NVTA,35.14,35.51,22.591885,39.94,35.14,32.246857,35.51,35.48,22.082165,35.48,39.5,-24.53459,7.415,39.2,39.94,17.97,-1.80308,-12.999,0.63517916,-1.59,3.536,0.1599,0.76773,-4.018,0.12570786,11.032239,0.03338,8.58,-1.27,0.1607,35.51,39.94,2.250836,,,,,,5190000000.0,0.1101,0.016,129020000000.00002,0.2904,0.506,-0.1441,106700000000.0,0.2995,-420500000000.0,0.914,0.1979,1.2026999999999999,233200000000.0,-0.374,0.32380000000000003,3.0010000000000003,-0.505,0.7903,0.08,-1.069,1.4184999999999999,-0.34600000000000003,0.0481,0.34700000000000003,4.261,-0.136,-1.4069999999999998,3130000000.0,0.1591,0.204,0.8095,-0.12300000000000001,1.6680000000000001,,,
RVNC,29.36,29.39,21.5596,33.67,29.36,26.11057,29.39,28.7422,4483.6606,28.7422,33.75,-9.587392,11.62,33.46,33.67,3178.46,,-7.698,1.0248277,-3.49,4.462,0.0825,0.95682,-4.247,0.12570786,7.4988794,0.014479999,12.15,-0.57,0.093,29.39,33.67,1.727982,,,,,,2180000000.0,0.1396,0.015,65930000000.00001,0.2297,0.16899999999999998,0.0,54330000000.0,0.3895,-209300000000.0,0.8340000000000001,0.1001,0.5356000000000001,500000000.0,0.069,0.0226,1.2174,-0.47200000000000003,1.5026,0.11599999999999999,-0.89,1.0615999999999999,-0.7290000000000001,0.1209,0.9570000000000001,1.8795,,-0.292,,0.2192,0.30260000000000004,0.5761999999999999,-0.025,0.015,,,
SGMS,26.43,27.12,14.786087,30.54,26.43,19.926,27.12,26.7,0.96261287,26.7,30.29,73.92683,3.76,30.4,30.54,3.49,-0.13112001,13.326,0.118020296,0.41,-27.295,0.074099995,0.60796,-4.182,0.12570786,,0.40765,9.95,0.08,0.123500004,27.12,31.63,2.446488,,,,,,2910000000.0,0.14679999999999999,0.013000000000000001,95000000000.0,0.614,1.088,0.0,56010000000.0,0.4778,-391000000000.0,0.609,0.1253,0.922,2980000000.0,0.639,0.0024,4.1373,-0.05,0.2666,,0.165,0.1318,0.069,-0.0417,0.595,7.0612,-0.36200000000000004,-1.581,1370000000.0,0.4796,0.6108,0.6433,0.128,0.13699999999999998,0.057999999999999996,-0.131,
SHLL,43.25,45.44,17.863638,49.9,43.25,32.085712,45.44,44.7901,,44.7901,47.52,,9.5,47.35,49.9,,,,3.390863,,0.172,0.0846,0.77089995,-0.023,0.12570786,276.10464,,0.45,,0.1317,45.44,58.66,,,,,,,1440000000.0,0.098,,29130000000.0,-0.109,,,23060000000.0,0.9423,-700000000.0,0.36700000000000005,0.10679999999999999,3.665,,,-0.41490000000000005,3.716,-0.003,,,-0.003,3.7538,,-0.19039999999999999,,3.9989,,-3.7910000000000004,6690000000.0,0.1575,0.6149,2.0824000000000003,,,,,
TUP,23.88,24.77,6.7927537,26.97,23.88,16.03,24.77,24.493,0.8064129,24.493,26.45,10.958506,1.15,,26.97,1.19,-0.00491,12.549,0.54463124,2.41,-5.747,0.0845,0.83426005,-0.161,0.12570786,,0.031089999,2.21,0.99,0.1011,24.77,26.97,3.650501,,0.619,0.011306534,0.27,8.65,1340000000.0,0.1059,0.028999999999999998,49000000000.0,0.26,0.2895,0.0137,47590000000.0,0.9138,-7900000000.0,0.775,0.0872,3.9272000000000005,1610000000.0,-0.938,0.0416,18.2774,-0.006,0.6445000000000001,0.12,0.028999999999999998,2.0781,0.057999999999999996,0.0762,0.653,21.9652,-0.16399999999999998,0.606,3480000000.0,0.4939,0.9682,2.7895999999999996,-0.43,-0.07200000000000001,0.027999999999999997,-0.005,
,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,dividendRate,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,bid,dividendYield,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,pegRatio,shortPercentOfFloat,regularMarketPrice,fiveYearAvgDividendYield,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,EPS next 5Y,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Dividend %,Sales past 5Y,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,Payout,Avg Volume,SMA20,SMA50,SMA200
ADS,44.36,44.52,45.238335,0.047339942,0.3177,47.655,44.36,45.696857,2.1,44.52,0.84,2.515607,44.33,43.497715,0.43933848,44.33,47.44,134.47,4.397969,20.51,47.39,0.0189,47.655,3.219,0.011080001,20.482,-0.6611413,10.83,24.205,0.0343,0.97342,1.095,0.13119566,1.9677753,0.03297,1.92,-0.724,1.22,0.0392,44.52,,2120000000.0,0.0688,0.022000000000000002,47600000000.0,-0.0495,0.7698999999999999,0.0452,46180000000.0,-0.0727,288300000000.0,0.8809999999999999,0.0355,-0.1643,5260000000.0,-0.37,-0.0409,0.43700000000000006,0.002,-0.6663,0.059500000000000004,0.042,-0.6046,0.059000000000000004,0.047,-0.6504000000000001,0.0189,0.01,0.5589999999999999,1.3115999999999999,-0.635,0.18100000000000002,-0.87,0.011000000000000001,1.641,1280000000.0,0.040999999999999995,0.0605,-0.2618
AMCX,20.77,24.5,25.381521,,,25.36,20.77,23.748,,24.5,,0.882385,,7.2653766,0.453938,,25.21,51.1,3.919003,19.62,25.2,,25.36,1.27,0.06655,4.347,-0.59210527,6.42,12.527,0.1911,1.11361,3.463,0.13119566,2.0084617,0.04814,13.36,-0.884,-0.3,0.35349998,24.5,,1100000000.0,0.2126,0.003,52310000000.0,-0.07400000000000001,0.1286,0.0,38470000000.0,-0.17579999999999998,192000000000.0,,0.2585,-0.2518,2880000000.0,-0.138,0.0174,-0.19649999999999998,0.035,-0.5952000000000001,-0.122,0.3,-0.4742,0.13,0.139,-0.5092,,0.071,0.52,0.2836,-0.163,0.141,-0.8740000000000001,0.067,0.0,1030000000.0,0.07200000000000001,0.052199999999999996,-0.1402
APPS,28.67,29.4965,11.420145,,,32.35,28.67,22.749428,,29.4965,,2.215161,28.9,114.7267,16.889832,28.9,31.88,32.35,55.583107,3.48,31.88,,32.35,12.724,0.15349,94.885,3.2791047,0.58,1.019,0.0341,0.58217996,0.281,0.13119566,31.637094,0.03965,0.55,,1.09,0.0355,29.4965,,2590000000.0,0.11410000000000001,0.035,87390000000.0,0.221,0.2527,-0.019299999999999998,83870000000.0,0.1586,25900000000.0,0.629,0.035699999999999996,1.7513999999999998,167200000000.0,3.87,0.1332,5.7143,0.17300000000000001,3.2162,0.5,0.377,3.0210000000000004,0.17600000000000002,0.243,0.0805,,0.375,0.406,8.1782,0.9279999999999999,0.125,6.228,0.153,0.0,3850000000.0,0.25780000000000003,0.6181,2.1572999999999998
ARCT,42.06,42.85,37.64239,,,44.89,42.06,50.180286,,42.85,,3.100927,42.405,,96.304565,42.405,44.76,66.24,103.34883,8.51,44.64,,44.89,73.402,,-20.856,2.6072042,0.43,4.533,0.0631,0.30923998,-2.519,0.13119566,9.803661,0.29925,2.34,,,0.0796,42.85,,1080000000.0,0.0635,0.22399999999999998,18790000000.0,0.0888,1.2009999999999998,-0.0006,18790000000.0,-0.1277,-38500000000.0,0.528,0.0819,0.142,11300000000.0,0.005,1.6265,2.0063999999999997,-0.39299999999999996,2.8872000000000004,,-0.894,2.8694,0.337,,-0.3247,,,,4.2562,-0.775,,-7.3,,,,-0.065,-0.1305,0.5114
ARWR,33.8,40.05,37.201485,,,53.12,33.8,41.008,,40.05,,1.655518,40.05,,40.411514,40.05,50.3,73.72,-53.097824,19.51,50.09,,53.12,25.32,-0.19745001,-111.216,0.1543715,-0.92,4.823,0.0921,0.6391,-0.25,0.13119566,10.128551,0.02764,11.22,,-9.68,0.1269,40.05,,3660000000.0,0.4808,0.037000000000000005,101840000000.0,-0.0471,-0.917,-0.0613,99560000000.0,-0.1954,-24400000000.0,0.677,0.0946,-0.0545,123700000000.0,2.059,0.0366,0.5385,-0.048,0.1481,0.0733,-0.055999999999999994,-0.4671,0.20600000000000002,0.249,-0.3211,,2.952,,1.5653,-0.358,-0.27,-1.65,-0.19699999999999998,,1040000000.0,0.268,0.1672,0.183
BYND,146.48,147.48,116.51732,,,158.5965,146.48,130.48257,,147.48,,,146.16,,24.437056,146.16,156.23,167.16,257.36066,48.18,156.01,,158.5965,20.617,-0.011829999,598.916,-0.048769474,0.61,6.246,0.1165,0.31215,-0.08,0.13119566,25.134487,0.18378,1.86,,-5.01,0.13,147.48,,9700000000.0,0.0659,0.035,62100000000.0,0.08929999999999999,3.5185000000000004,-0.3135,54440000000.0,0.17149999999999999,-4700000000.0,0.32899999999999996,0.1336,-0.0359,400900000000.0,0.426,0.1231,1.4284000000000001,-0.01,-0.0786,,-0.012,0.9376000000000001,,-0.001,-0.0659,,,0.34299999999999997,2.2407,0.684,-0.009000000000000001,0.32,-0.012,,5010000000.0,0.1838,0.1935,0.4117
CRNC,57.91,58.24,34.102463,,,62.43,57.91,51.197998,,58.24,,,56.81,,7.0849113,56.81,61.89,62.43,,11.39,61.87,,62.43,6.386,0.21242,35.244,1.6482828,,,0.1452,0.89338994,,0.13119566,,0.00226,6.65,,2.59,0.16209999,58.24,,2190000000.0,0.0696,0.02,36510000000.0,0.1524,0.10099999999999999,-0.0028000000000000004,36100000000.0,0.0935,68300000000.0,0.8934000000000001,0.1477,0.4274,321700000000.0,-0.20800000000000002,0.1514,2.6722,0.042,,0.15,0.071,1.5590000000000002,,0.094,0.0499,,,0.66,4.4381,-0.036000000000000004,0.031,,0.212,0.0,,0.1588,0.30519999999999997,1.0603
CVET,19.65,21.48,15.538369,,,23.13,19.65,22.174429,,21.48,,,20.4,,0.6171585,20.4,22.48,25.21,28.871796,4.045,22.47,,23.13,0.768,-0.23706,30.708,0.5339577,0.78,11.325,0.0749,1.01129,-8.78,0.13119566,1.9885211,0.01214,5.96,,0.54,0.112399995,21.48,,2300000000.0,0.14300000000000002,0.002,112000000000.0,-0.0634,0.0837,-0.23559999999999998,100340000000.0,-0.1334,-975000000000.0,,0.0842,0.1332,4120000000.0,-0.065,-0.028999999999999998,1.9593,-0.285,0.426,,-0.77,0.4886,,-0.405,-0.1091,,,0.185,4.5525,0.017,-0.245,6.352,-0.237,,1240000000.0,0.0204,0.0391,0.5136999999999999
CXO,46.19,46.51,52.340218,0.01407231,,49.23,46.19,50.463715,0.65,46.51,0.8,1.863991,46.51,,2.7428553,46.51,48.98,93.34,15.465408,33.13,48.95,0.017,49.23,3.541,-2.7289498,3.545,-0.37122244,3.18,40.534,0.033099998,0.96853995,-48.857,0.13119566,1.2133024,0.01075,3.53,,0.37,0.053000003,46.51,,9120000000.0,0.0611,0.0108,195290000000.0,-0.0302,-0.18289999999999998,-0.0101,194590000000.0,-0.0989,-9626000000000.0,0.932,0.0335,-0.2047,3760000000.0,-1.2690000000000001,-0.030899999999999997,0.2158,-0.498,-0.3934,0.32520000000000004,-0.732,-0.4725,-0.222,-0.038,-0.47490000000000004,0.0173,0.115,0.828,0.4793,-0.579,,-3.574,,,2210000000.0,-0.0084,-0.0338,-0.19920000000000002
EXEL,25.13,25.38,22.106739,,,27.34,25.13,22.342285,,25.38,,1.395763,25.25,30.517435,8.396437,25.25,27.18,27.8,33.9125,13.67,27.15,,27.34,5.559,0.28208,16.707,0.30409956,0.8,5.935,0.033299997,0.78894997,0.889,0.13119566,4.571188,0.030199999,5.98,-0.155,1.24,0.0376,25.38,,7460000000.0,0.0816,0.013000000000000001,307810000000.0,0.2137,0.7968000000000001,-0.2299,298910000000.0,0.1433,281600000000.0,0.841,0.0344,0.073,998400000000.0,-0.5379999999999999,0.0218,0.7026,0.147,0.30210000000000004,0.46,0.16399999999999998,0.42619999999999997,0.225,0.17300000000000001,-0.0223,,1.0759999999999998,0.963,0.9883,0.08,0.322,-0.163,0.282,0.0,2080000000.0,0.23670000000000002,0.18309999999999998,0.2932
FANG,30.5,30.88,38.810726,0.043016396,,33.835,30.5,39.196,1.312,30.88,1.5,2.193422,30.6,,1.6499339,30.6,33.57,99.84,10.220545,14.55,33.54,0.048299998,33.835,3.62,-0.86032,4.392,-0.68956745,3.31,67.886,0.0478,1.0205001,-17.389,0.13119566,0.49833545,0.00701,3.94,,0.9,0.0631,30.88,,4890000000.0,0.1016,0.001,157830000000.0,-0.0466,0.3046,0.0426,156400000000.0,-0.3298,-2963000000000.0,0.9520000000000001,0.0482,-0.3896,3400000000.0,-0.818,-0.0297,0.5077,-0.12300000000000001,-0.7095999999999999,0.13449999999999998,-0.21899999999999997,-0.6715000000000001,-0.166,0.032,-0.6829000000000001,0.0492,0.516,0.721,1.3093000000000001,-0.584,,-8.169,-0.818,,2480000000.0,-0.0901,-0.1462,-0.3569
FLGT,30.29,30.28,20.40134,,,33.9901,30.29,35.35486,,30.28,,1.913176,29.95,261.2097,16.371637,29.95,32.82,52.47,15.497608,6.7,32.66,,33.9901,13.966,0.05785,152.565,1.7411766,2.09,3.991,0.053400002,0.58884996,0.124,0.13119566,8.115761,0.58151,1.11,9.033,0.56,0.096499994,30.28,,694250000000.0,0.08349999999999999,0.1,21750000000.0,0.1099,0.7525,-0.0638,11310000000.0,-0.2792,2500000000.0,0.303,0.1045,0.8358,43800000000.0,0.93,0.037200000000000004,2.5343999999999998,0.03,1.6734,0.4445,0.033,1.3481,0.17300000000000001,-0.006,-0.37450000000000006,,0.91,0.5589999999999999,3.8985000000000003,1.06,0.043,7.327999999999999,0.057999999999999996,0.0,,-0.07440000000000001,0.0676,0.7746
MRSN,22.91,22.88,14.976666,,,26.25,22.91,19.098572,,22.88,,2.435353,22.83,,1141.3048,22.83,25.91,26.25,-19.801529,1.32,25.89,,26.25,591.836,,-14.368,11.587912,-1.31,4.001,0.0853,0.64255995,-1.369,0.13119566,6.4833794,0.0128,10.45,,,0.106300004,22.88,,1550000000.0,0.13119999999999998,0.008,60750000000.0,0.3197,0.08199999999999999,,45170000000.0,0.233,-69800000000.0,0.9620000000000001,0.1292,0.0414,1700000000.0,0.768,0.643,3.4399,-0.439,11.0579,,-0.5489999999999999,2.9983,,-0.361,0.0378,,,,18.6326,3.0,,0.09,,,,0.3908,0.2982,1.1081999999999999
NFE,31.4,31.46,16.624855,,,34.98,31.4,26.946571,,31.46,0.4,,31.46,,20.74963,31.46,34.82,39.092,35.47959,7.01,34.62,0.0123000005,34.98,21.598,-0.55385,-49.37,0.7167851,0.98,0.848,0.0067000003,0.52185,-4.891,0.13119566,41.00236,0.33492002,4.05,,,0.0070999996,31.46,,6220000000.0,0.1045,0.009000000000000001,168710000000.0,-0.0154,2.38,-0.2572,62290000000.0,0.1617,-159800000000.0,0.376,0.0182,1.4569999999999999,288500000000.0,-2.485,1.9772,2.2205,-0.12300000000000001,0.9181,,-1.662,1.0038,,-0.267,-0.11289999999999999,0.0127,,0.21100000000000002,3.9472000000000005,1.3769999999999998,-0.9620000000000001,-7.568,-0.5539999999999999,,,0.1929,0.4214,1.1226
NVAX,110.34,108.09,66.96775,,,126.54,110.34,129.33371,,108.09,,1.502787,,,152.27184,,124.77,189.4,5.744138,3.54,124.73,,126.54,116.946,-1.85632,-66.076,15.37092,21.75,3.015,0.1384,0.13891,-2.402,0.13119566,41.43781,0.0036300002,0.98,,,0.1389,108.09,,6580000000.0,0.1328,0.006999999999999999,58620000000.0,0.2934,1.3944999999999999,-0.3147,55240000000.0,-0.2469,-93300000000.0,0.53,0.1535,1.1158,50200000000.0,0.449,1.5263999999999998,10.614700000000001,-0.233,13.575999999999999,0.0,1.733,26.7236,0.055999999999999994,,-0.34009999999999996,,-0.095,,34.3079,9.441,,0.823,,,7950000000.0,0.12050000000000001,-0.015,1.6005
PGNY,27.37,27.46,24.628262,,,29.35,27.37,28.264286,,27.46,,,27.46,,9.799746,27.46,29.3,36.5,94.54516,13.29,29.28,,29.35,7.84,-0.038110003,256.7,0.71706414,0.31,-9.676,0.0363,0.6152,-0.991,0.13119566,,0.20391001,3.22,,4.03,0.25059998,27.46,,2420000000.0,0.0705,0.025,85280000000.0,-0.0148,3.0,-0.7872,51770000000.0,-0.07719999999999999,-10400000000.0,0.613,0.0603,0.1707,271899999999.99997,0.243,0.3872,0.14279999999999998,-0.071,,0.6925,-0.157,-0.0029,,0.085,-0.1973,,,0.19399999999999998,1.2046999999999999,-0.375,0.023,-1.432,-0.038,,,0.0259,0.061500000000000006,0.1282
PLCE,,28.17,30.968622,0.04,,31.55,,24.323715,1.12,28.17,,1.83612,27.95,,0.2764048,27.95,30.93,88.47,13.933628,9.25,30.96,,31.55,0.594,-0.05666,21.009,-0.6505678,2.26,4.218,0.4356,1.4702699,-6.308,0.13119566,7.4656234,0.0364,3.78,,0.44,0.79620004,28.17,2.01,409360000000.0,0.1027,0.057,14630000000.0,0.2022,1.766,0.059699999999999996,13720000000.0,0.0079,-94200000000.0,0.95,0.4631,-0.396,1660000000.0,-0.21899999999999997,-0.1189,0.37929999999999997,-0.078,-0.6709999999999999,,-0.574,-0.5521,0.125,0.2,-0.6679999999999999,,0.012,0.248,2.3379,-0.12300000000000001,-0.09,,-0.057,,1290000000.0,0.36920000000000003,0.1605,-0.25420000000000004
PSNL,22.27,22.74,13.571087,,,24.64,22.27,21.068714,,22.74,,,22.29,,10.406045,22.29,24.33,24.87,-26.821112,4.27,24.24,,24.64,7.723,-0.43162,-21.412,0.3884039,-0.9,3.577,0.0297,0.84490997,-2.004,0.13119566,6.7483926,0.028010001,1.26,,-1.56,0.048299998,22.74,,852050000000.0,0.09519999999999999,0.009000000000000001,31730000000.0,0.1124,0.0,2.1224000000000003,18880000000.0,0.1041,-31900000000.0,0.496,0.050199999999999995,0.7974,74000000000.0,-0.996,0.0483,3.3667000000000002,-0.20800000000000002,0.3713,0.124,-0.311,1.0431,,-0.226,-0.019299999999999998,,,0.28300000000000003,4.7119,0.23399999999999999,-0.45399999999999996,-0.547,-0.43200000000000005,,,0.1099,0.24309999999999998,0.9439
SWTX,43.36,42.79,37.001232,,,47.94,43.36,43.24743,,42.79,,,42.79,,,42.79,47.66,49.79,-29.055216,17.02,47.44,,47.94,,,-20.251,0.80591416,-1.63,7.802,0.0531,0.76443,-13.84,0.13119566,6.0702386,0.15584,15.64,,,0.24040002,42.79,,1840000000.0,0.0946,0.1558,41950000000.0,-0.0005,-0.251,0.0,32799999999.999996,0.0583,-68200000000.0,0.8170000000000001,0.0697,-0.078,,-1.766,0.056299999999999996,0.9834999999999999,-0.21,0.8271999999999999,,-0.217,0.1265,,,-0.046799999999999994,,,,1.7885,,,-0.133,,,,0.09699999999999999,0.13849999999999998,0.3276
TEX,19.77,19.86,17.307102,0.017197775,0.5763,21.15,19.77,19.88,0.34,19.86,,1.680044,19.82,125.7738,0.42645222,19.82,21.08,31.28,19.933962,11.54,21.07,,21.15,0.611,0.0034400001,13.165,-0.2849909,1.06,11.668,0.038900003,0.96161,0.168,0.13119566,1.8109357,0.040999997,4.98,,2.06,0.0519,19.86,1.24,1350000000.0,0.0647,0.038,69300000000.0,-0.013000000000000001,3.304,-0.0026,66400000000.00001,-0.056799999999999996,43000000000.0,0.902,0.0406,0.0207,3430000000.0,-0.091,-0.0226,0.3233,0.004,-0.2914,,0.013999999999999999,-0.3361,0.052000000000000005,0.141,-0.327,,-0.098,0.18100000000000002,0.8240999999999999,-0.47200000000000003,0.032,-1.041,0.003,2.161,,0.0626,0.0732,0.0292
TMHC,24.32,24.66,18.501522,,,26.11,24.32,24.280285,,24.66,,1.783166,24.5475,19.498503,0.6296731,24.5475,25.87,28.47,7.5726743,6.39,25.85,,26.11,1.195,0.02864,14.005,-0.028754056,3.44,25.443,0.0363,1.02925,1.336,0.13119566,1.0238572,0.01477,3.79,-0.198,2.86,0.0507,24.66,,3060000000.0,0.0641,0.002,129630000000.0,0.0625,1.15,0.0,125130000000.0,0.0016,155900000000.0,,0.0377,0.16920000000000002,5440000000.0,0.312,-0.0092,1.8312,0.023,-0.011399999999999999,0.054000000000000006,0.054000000000000006,0.1125,0.024,0.057,-0.091,,0.11900000000000001,0.16,3.0501,0.20600000000000002,0.037000000000000005,-0.34,0.028999999999999998,0.0,1490000000.0,0.0546,0.0889,0.2734
UCTT,19.59,19.74,20.912464,,,21.1,19.59,25.658571,,19.74,,1.578595,19.53,40.444874,0.70023537,19.53,20.89,31.1,7.95057,11.79,20.87,,21.1,0.792,0.01732,7.392,0.2077682,2.63,11.675,0.0654,0.95533997,0.517,0.13119566,1.7910063,0.032509997,4.78,,0.39,0.0784,19.74,,806320000000.0,0.0683,0.032,40100000000.0,-0.031200000000000002,0.059500000000000004,-0.0762,39310000000.0,-0.3235,20900000000.0,0.9259999999999999,0.0672,-0.1313,1210000000.0,-1.239,-0.0207,0.22440000000000002,0.02,0.1931,0.2,0.047,-0.1653,-0.213,0.027000000000000003,-0.3271,,0.157,0.20199999999999999,0.7751,0.299,0.055,,0.017,0.0,,-0.1152,-0.1643,-0.0353
VIR,30.81,31.03,38.88232,,,33.55,30.81,43.608,,31.03,,,30.73,,55.803658,30.73,32.99,,-17.449736,11.65,33.02,,33.55,40.89,-2.93641,-15.087,1.1975749,-1.89,-23.942,0.027,0.63778996,-14.642,0.13119566,,0.14543,4.14,,,0.053600002,31.03,,3900000000.0,0.0717,0.040999999999999995,114980000000.0,0.07429999999999999,-0.21,-0.0933,109080000000.0,-0.4158,-220500000000.0,0.44799999999999995,0.0315,-0.1531,75100000000.0,-4.433,0.42229999999999995,-0.387,-0.423,,,-0.8109999999999999,1.4501,,-0.419,-0.5597,,,,1.8341999999999998,31.725,,0.526,,,1320000000.0,-0.1369,-0.2701,0.024900000000000002
