Symbol
FRHC
FSLY
RDVT
HMY
NKLA
ATXI
IDN
MCRB
INS
OBCI
CLCT
SITM
ICAD
CVM
SAFE
CXDO
HGBL
PRVB
AU
MRNA
DOCU
INO
BCLI
MTA
FLNG
EIDX
HZNP
IMMU
CYRX
DQ
GRWG
LSCC
XPEL
IMVT
PEIX
CLPT
APT
CRNC
MDNA
PRPL
RCEL
BLDP
STXS
NVAX
KRTX
SILV
INFU
VVPR
MICT
ZLAB
TWST
CGEN
BNTX
CELH
DYAI
LEU
NLTX
RUN
SEDG
SHLL
ZYXI
CCXI
ARCT
ATLC
SBSW
DKNG
AWH
CODX
KRMD
KOD
REKR
SHOP
PLMR
BTAI
OTRK
ACMR
GFI
PRTS
DRD
GRVY
ZM
ELA
BVXV
PLUG
VSLR
XBIT
SAVA
TSLA
OESX
RVP
FLGT
HEBT
GSX
RLMD
AGRX
BTBT
ENPH
WKHS
APPS
AXSM
VRS
MDGL
CERC
VKTX
NEPT

MED
XENE
SHSP
HEAR
SRPT
BOOT
RCKT
LFVN
QURE
FIVE
VFF
STAA
DRNA
LIQT
AAXN
RETA
MOH
NEPH
KOR
EDUC
PAYS
FTNT
CDNA
NFLX
ZEN
ADUS
BLFS
FCN
SMTX
IRDM
VRNS
SPLK
VCEL
AEYE
SPSC
VICR
CRSP
AMZN
EBS
BGNE
UI
TREX
CRM
SMSI
CPRT
APPF
RPD
APPN
ARNA
SQ
ANSS
GNSS
CWST
PAYC
RCM
ODFL
POOL
PCTY
HUBS
REGI
ADBE
LPSN
PAR
CAMT
EGAN
AYX
RST
W
FICO
MSFT
NVDA
LUNA
TEAM
MASI
ATEC
FRTA
MNTA
WMS
MEDP
MSCI
AMSC
MHH
DECK
CSGP
SRNE
XLRN
HIBB
RCII
WING
EVBG
AMED
PYPL
SMIT
AAPL
LULU
MTBC
JYNT
CROX
ETSY
PODD
CHGG
ADVM
TTGT
PENN
TRUP
LHCG
ASND
MYOK
APTO
WIX
HROW
CDNS
NVCR
GDS
CALX
SPWH
QDEL
NOW
SGEN
TNDM
MJCO
AMRC
VNET
WST
AMD
TRIL
IRTC
EPAM
EXPI
RGEN
TDOC
NTRA
VEEV
ARWR
FIVN
EMX
ARGX
NEO
NVTA
CMG
NSTG
INSG
TWLO
EHTH
OKTA
RNG
AHPI
SAM
MTLS
PFSI
IOVA
OSTK
DXCM
PFNX
KRYS
CVNA
RH
KRNT
BASI
ZYME
KL
AUDC
MRTX
VCYT
PDEX
MESO
FRPT
IPHI
GLOB
TTD
CMCL
IIPR
MELI
PW
KNSL
BTG
COUP
FATE
GNRC
SVM
SLP
NG
WPM
APHA
CGC
EVI
BZUN
XPO
JOUT
ALGN
SKY
BOOM
OLLI
SMTC
ERII
EXAS
ALRM
SIGA
FOXF
UPLD
CODA
CGNX
CZR
LITE
TTWO
HEI

ISRG
CORT
PEN
MRCY
TTEK
NRC
SHYF
BURL
BRKS
QTWO
GSS
INTU
ROCK
NOVT
OLED
AMAT
IDXX
LOGI
CYBE
NSSC
CTAS
ADSK
FSV
HTHT
KTOS
MA
EXEL
SAIA
BIO
SPGI
BABA
STM
ASPU
KLAC
MITK
MMX
CHDN
FORM
EBR
IESC
ELMD
MPWR
ZTS
GOL
NICE
PEGA
TSM
NVMI
YNDX
ASML
LRCX
MRVL
SNPS
TER
BMRA
IBP
ZNGA
RADA
CABO
LAC
GMAB
NEM
EDU
ENTG
MODN
AG
LGIH
NTES
PAAS
MKTX
BLD
AUPH
CZZ
AXU
TAL
LINC
GOLD
KGC
GTT
NHTC
LGND
BBX
CMD
AXDX
OSBC
TPL
IBCP
SSNT
AX
BEAT
EGHT
ABMD
SIMO
PLUS
LNG
SIVB
CCF
PATK
CNC
AMOT
ASGN
JBT
NBIX
AGM
PGTI
ULTA
HSKA
JAZZ
WLDN
CSII
ANIK
GTN
STZ
ILMN
GV
PRI
STMP
JKHY
BR
ATVI
ROST
FONR
COR
RLGT
AMEH
IPGP
CNXN
SSNC
URI
BSX
AMN
AZPN
LYV
RDNT
EA
IONS
KAI
NLS
MU
ISDR
UNH
AJRD
HUM
LII
CCOI
VRSN
ICLR
ENV
FISV
NXST
TCX
ROL
EXR
MKSI
HCI
ROP
TDY
MLAB
COO
WNS
FR
TFX
TYL
CBPO
SNBR
HD
TREE
ALNY
DLHC
GPN
SWBI
TTC
MNST
DPZ
NXPI
ORLY
V
TDG
NDAQ
ABG
EXPO
NKE
ZBRA
AAON
REGN
LOW
VRTX
ENSG
SHW
VRSK
EL
CHE
AVGO
DSGX
CLFD
MCO
TSCO
NVR
SWKS
AWK
MANH
HELE
SBUX
MTD
CRL
EW
EQIX
OFLX
DHI
TMO
PZZA
DG
FLWS
CHTR
BLDR
SBAC
SPNS
LAD
ACAD
DCTH
ONCT
LMNL
AHT
SLS
BLIN
CPE
SQBG
ACER
SFUN
NBR
VET
SCON
SCOR
OIS
CYCC
ABEO
RAIL
PSTV
YTEN
ACY
MAC
OXY
QUAD
FLR
DSS
BCDA
ARLP
OVV
JAKK
AYRO
OII
CLB
AMRX
XAN
APDN
TEN
BPTH
ACHV
IRS
CORR
DRAD
ESEA
VRME
APEX
FCEL
GEL
PTEN
ENDP
DHC
PCG
IVR
QUIK
CREG
CRESY
MRO
SGLB
MVO
SSL
USAP

IDXG
AVEO
CGA
NMM
WES
FTI
LJPC
DVN
X
NOV
IPI
ARMP
APA
AI
CMCT
PAA
ERJ
SKT
ESTE
IDRA
BKD
CVU
ITCB
GIFI
DAC
NBL
LTBR
ORN
ALIM
YPF
PBT
HLX
FCRD
OPI
FOSL
MUR
OXSQ
CPLP
TS
OCN
TAOP
HWCC
ATI
CEQP
PRPO
TGI
AMRS
TK
NCMI
NRP
GOGL
NRT
LOV
VHI
CDOR
PLM
TEVA
CLMT
NWG
CAPR
CRT
SAN
ARR
YRCW
ZVO
PTR
IVC
NS
JRJC
MT
EC
BKCC
BBVA
TWI
AP
DVAX
BB
EGLE
CPST
OPHC
EZPW
GHL
GEOS
NNA
UEPS
CTL
TEF
NTWK
CVE

SWN
RRC
MGI
SJT
CBIO
ABIO
TNP
CLF
SNOA
SBLK
GLRE
ACH
USEG
NNVC
BCS
SPH
CEL
FVE
CRK
ICL
PRTK
GSL
ITUB
RBBN
RELV
SNCR
STNG
PLX
BBBY
EFOI
CS
GORO
RIOT
PBI
GNW
PBR
CHCI
NAVB
DB
BRFS
CRNT
THMO
CAAS
BLU
GENE
GURE
EDSA

BVN
GIGM
CLNE
TKC
MKGI
BOSC
TAC
OBLG
