,Insider Own,Shs Outstand,Perf Week,Market Cap,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,Payout,SMA20,SMA50,SMA200,Change,EPS next Y,EPS next 5Y,Avg Volume,Sales past 5Y,Dividend %
FRHC,0.002,58360000000.0,0.061900000000000004,1450000000.0,-0.0701,15820000000.0,0.10210000000000001,40500000000.0,0.022000000000000002,0.0331,0.2983,147100000000.0,2.474,0.6133,0.965,0.063,0.9771,0.28300000000000003,0.7001000000000001,1.209,0.128,0.0127,0.812,1.1973,0.935,0.39399999999999996,1.8940000000000001,0.275,0.0,0.0529,0.1553,0.43810000000000004,0.021099999999999997,,,,,
FSLY,0.02,99840000000.0,0.1017,9570000000.0,-0.5656,82550000000.0,0.0558,-52700000000.0,0.619,0.0987,0.3153,246300000000.0,-1.2109999999999999,0.3418,3.7300999999999997,-0.133,2.1469,-0.16,3.1738999999999997,,-0.16399999999999998,-0.2888,0.575,6.8805,0.617,-0.21600000000000003,0.157,-0.214,,-0.0294,-0.0259,0.8826999999999999,0.0169,2.333,0.3,11680000000.0,,
RDVT,0.095,11620000000.0,0.0123,238900000000.0,0.0,4870000000.0,-0.0559,-9900000000.0,0.25,0.2642,0.0282,33700000000.000004,-0.5379999999999999,0.1365,0.1816,-0.19699999999999998,0.39289999999999997,-0.23,0.0227,,-0.266,-0.3404,0.631,0.6354,-0.013999999999999999,-0.292,0.41700000000000004,-0.293,,-0.0438,0.0533,-0.0015,0.0005,,,,,
HMY,0.151,535000000000.0,-0.0783,3550000000.0,0.0,493690000000.0,-0.06269999999999999,-79900000000.0,0.33799999999999997,0.024,0.6859999999999999,1690000000.0,0.504,-0.0044,1.8653,-0.035,0.7839,-0.055,0.5234000000000001,0.3799,-0.08199999999999999,-0.2733,0.11,2.142,0.5670000000000001,-0.034,0.228,-0.047,,-0.086,-0.10769999999999999,0.3638,-0.0416,,0.0,9440000000.0,0.778,
NKLA,0.013000000000000001,303790000000.0,0.0641,15150000000.0,-0.19079999999999997,115690000000.0,-0.1961,-132199999999.99998,0.135,0.0824,-0.48119999999999996,440000000.0,0.09,1.0829,2.2103,-0.324,2.3750999999999998,-0.34,2.313,,,-0.6362,,2.352,1.7690000000000001,,-4.1160000000000005,,,-0.1101,-0.1492,0.3223,0.0106,0.0,,25190000000.0,,
ATXI,0.016,16480000000.0,-0.0052,187450000000.0,-0.014499999999999999,6610000000.0,-0.022099999999999998,-10800000000.0,0.163,0.022400000000000003,0.057999999999999996,,0.217,0.3549,0.6690999999999999,-1.239,0.8976999999999999,-1.507,0.1979,,,-0.0681,,1.3174000000000001,,,0.732,,,-0.0008,0.06280000000000001,0.1962,0.0305,1.238,,,,
IDN,0.039,16379999999.999998,0.0701,125560000000.0,0.0,15950000000.0,-0.0091,-1200000000.0,0.54,0.0431,-0.0774,9800000000.0,0.36700000000000005,0.1886,0.6318,-0.071,0.3226,-0.084,-0.1242,0.36700000000000005,-0.226,-0.3776,0.848,2.4346,0.125,-0.13699999999999998,0.16399999999999998,-0.122,,0.0264,-0.061500000000000006,-0.0537,-0.013500000000000002,21.0,0.1,,0.03,
MCRB,0.1,73310000000.0,0.0059,2230000000.0,0.0,50710000000.0,0.026000000000000002,-75800000000.0,0.7390000000000001,0.1033,4.3437,28900000000.0,0.489,0.08900000000000001,7.2741999999999996,-0.648,5.6451,1.459,6.4348,-0.21100000000000002,3.033,-0.2227,,9.1786,-0.52,,-0.18600000000000003,,,0.0168,0.6063000000000001,2.6914999999999996,-0.045,-0.361,,2980000000.0,,
INS,0.16899999999999998,8930000000.0,-0.0084,329140000000.0,0.0,6470000000.0,0.009399999999999999,10000000000.0,0.509,0.1461,0.0825,35800000000.0,0.753,-0.0298,0.3046,0.213,-0.23199999999999998,0.268,-0.0864,0.601,0.29100000000000004,-0.2687,0.622,0.5688,0.08,0.34,0.042,0.281,0.0,-0.0138,0.059000000000000004,0.0195,-0.0316,0.7071999999999999,,,0.523,
OBCI,0.062,9460000000.0,0.2108,145530000000.0,-0.0301,2900000000.0,-0.0353,5900000000.0,0.109,0.0658,0.7006,45800000000.0,0.24100000000000002,1.023,2.8341000000000003,0.14400000000000002,3.5412,0.185,3.5638,0.102,0.102,-0.3326,0.405,3.873,0.44,0.16399999999999998,2.3890000000000002,0.128,0.032,0.052000000000000005,-0.0242,0.93,-0.0092,,,,0.045,0.0053
CLCT,0.024,9000000000.0,0.13470000000000001,484110000000.0,-0.0363,8910000000.0,0.249,10800000000.0,0.746,0.051399999999999994,0.6325999999999999,78900000000.0,0.069,0.0556,2.4642,0.21100000000000002,0.865,0.46799999999999997,1.331,0.065,0.4,-0.005,0.573,3.052,0.035,0.179,-0.069,0.13699999999999998,0.583,0.1497,0.2708,0.9233,-0.0009,,0.2,,0.05,0.013000000000000001
SITM,0.5379999999999999,15370000000.0,0.1364,1250000000.0,-0.2237,8920000000.0,0.0801,-9000000000.0,0.545,0.06309999999999999,0.5721,96600000000.0,-0.005,0.8193,2.0796,-0.075,,-0.161,1.8514,,-0.047,-0.10890000000000001,0.47100000000000003,3.7152999999999996,0.361,-0.079,-0.022000000000000002,-0.09300000000000001,,0.0608,0.19149999999999998,1.0526,0.019299999999999998,7.135800000000001,0.15,,,
ICAD,0.076,22400000000.0,0.2541,273990000000.0,-0.0557,20970000000.0,0.0781,-20500000000.0,0.465,0.0512,0.109,29400000000.0,-0.364,0.3155,0.5508,-0.485,0.5676,-1.496,0.4929,-0.594,-0.258,-0.24230000000000002,0.752,0.9628,-0.233,-0.35100000000000003,0.465,-0.6990000000000001,,0.1533,0.155,0.1689,0.0892,0.5529999999999999,0.15,,-0.065,
CVM,0.04,37450000000.0,0.0823,574320000000.0,0.0,36950000000.0,0.1518,-29600000000.0,0.33899999999999997,0.2528,0.0513,600000000.0,0.621,0.326,0.2,-0.884,0.6792,-2.7310000000000003,0.5672,0.433,-1.0859999999999999,-0.20329999999999998,,1.39,1.0,,0.254,,,0.079,0.0946,0.1431,0.1265,0.857,,,0.11900000000000001,
SAFE,0.66,51080000000.0,-0.0209,2860000000.0,-0.0066,16969999999.999998,0.13449999999999998,46400000000.0,0.314,0.061399999999999996,-0.11599999999999999,129400000000.0,0.386,0.0105,0.09789999999999999,0.019,0.9126000000000001,0.042,0.41659999999999997,,0.026000000000000002,-0.1502,0.98,0.9538,0.898,0.743,0.38799999999999996,0.359,0.625,0.0155,0.06860000000000001,0.10439999999999999,-0.016,0.1433,0.369,,,0.011399999999999999
CXDO,0.721,15020000000.0,-0.1505,114530000000.0,0.0,4240000000.0,-0.1925,1200000000.0,0.003,0.0053,0.2948,15300000000.0,5.704,,1.5033,0.132,1.1457,0.261,0.7670999999999999,0.163,0.251,-0.41240000000000004,0.7070000000000001,1.5033,0.139,0.086,0.39799999999999996,0.079,0.0,-0.1752,-0.1103,0.29309999999999997,-0.049400000000000006,0.07690000000000001,,,0.13699999999999998,
HGBL,0.195,28750000000.0,0.06559999999999999,74900000000.0,,18920000000.0,-0.292,3900000000.0,0.11900000000000001,0.0,0.33509999999999995,22600000000.0,0.026000000000000002,0.19760000000000003,2.6912000000000003,0.17300000000000001,2.5857,0.316,1.5665,0.165,0.325,-0.40240000000000004,0.7959999999999999,3.5645,-0.17600000000000002,0.084,0.271,0.172,0.0,-0.1848,-0.071,0.6851999999999999,-0.004,1.5881999999999998,,,0.055,
PRVB,0.09300000000000001,49200000000.0,0.17559999999999998,872630000000.0,0.0053,41440000000.0,0.08259999999999999,-55000000000.0,0.40299999999999997,0.10210000000000001,-0.1059,,-0.345,0.8519,1.2926,-0.504,0.8334999999999999,-0.539,0.020099999999999996,,,-0.1784,,2.2203,,,-0.4,,,0.17059999999999997,0.2227,0.2022,0.0256,-0.20800000000000002,,,,
AU,0.031,418500000000.0,-0.0579,11670000000.0,0.0,412660000000.0,-0.0409,632000000000.0,0.366,0.011399999999999999,0.0446,3660000000.0,0.6809999999999999,0.0358,0.9338,0.04,0.382,0.107,0.2162,0.467,0.077,-0.2943,0.335,1.1461,-0.207,0.264,0.358,0.081,0.133,-0.0613,-0.11130000000000001,0.11810000000000001,-0.0276,0.557,0.2643,3240000000.0,-0.066,0.0034999999999999996
MRNA,0.025,380530000000.0,0.1775,26740000000.0,-0.3171,315860000000.0,0.0275,-487300000000.0,0.556,0.08869999999999999,0.053099999999999994,105800000000.0,-0.271,0.12789999999999999,1.4777,-0.223,2.9033999999999995,-0.278,2.5721,,-0.449,-0.2661,,4.1641,4.069,,0.252,,,0.08560000000000001,-0.0128,0.5347,0.0292,1.205,0.168,20010000000.0,,
DOCU,0.019,184860000000.0,-0.015600000000000001,37540000000.0,-0.21030000000000001,172650000000.0,-0.0641,-206400000000.0,0.784,0.0454,0.2072,1160000000.0,0.627,-0.022099999999999998,1.4449,-0.10800000000000001,2.0754,-0.386,1.6293,,-0.196,-0.3286,0.747,2.2706,0.452,-0.161,0.10800000000000001,-0.177,,-0.0959,-0.0666,0.5109,0.0076,0.6139,0.312,6330000000.0,,
INO,0.013999999999999999,167520000000.0,0.6865000000000001,2750000000.0,-0.08869999999999999,164190000000.0,0.1748,-222000000000.0,0.342,0.3156,0.1913,2700000000.0,-0.154,0.3801,1.3546,-0.8240000000000001,5.995900000000001,-2.178,4.1514999999999995,-0.146,-1.379,-0.49689999999999995,,7.8773,2.0,,-1.757,,,0.40090000000000003,-0.020099999999999996,0.5475,0.0849,1.4080000000000001,0.0,33990000000.000004,-0.17,
BCLI,0.011000000000000001,29270000000.0,0.1286,489670000000.0,-0.053,25120000000.0,0.12359999999999999,-28800000000.0,0.19899999999999998,0.1547,0.4867,,-0.522,0.6947,2.2803999999999998,-2.234,2.7772,,2.5257,-0.094,,-0.12269999999999999,,3.2151,,,-0.11900000000000001,,,0.15960000000000002,0.1152,0.8963,0.0321,0.391,,,,
MTA,0.2526,36190000000.0,0.0344,304750000000.0,0.0,30880000000.0,-0.0757,,0.09820000000000001,0.008100000000000001,0.4669,,,,1.1535,,1.288,,0.5593,0.0533,,-0.16699999999999998,,1.8067,-0.945,,,,,-0.021,0.061799999999999994,0.4067,0.0036,,-0.055999999999999994,,,0.0036
FLNG,0.4586,54110000000.0,0.0034999999999999996,308980000000.0,0.0,28830000000.0,0.0203,,0.1986,0.0132,0.1996,145750000000.0,,,0.40299999999999997,,-0.42479999999999996,,-0.47600000000000003,,,-0.5161,,0.6794,0.354,,,,,-0.0004,0.015300000000000001,-0.1025,-0.023799999999999998,,,,,0.0701
EIDX,0.011000000000000001,38290000000.0,0.115,2000000000.0,-0.061799999999999994,12460000000.0,0.293,-63700000000.0,0.327,0.15109999999999998,0.08560000000000001,26700000000.0,0.446,-0.01,0.1788,-0.32799999999999996,0.2102,-0.386,-0.081,,-0.21600000000000003,-0.2076,0.9059999999999999,0.8576999999999999,,,-0.9470000000000001,,,0.20370000000000002,0.1975,0.081,0.057800000000000004,-0.12300000000000001,0.28,,,
HZNP,0.006999999999999999,220350000000.0,0.1331,16960000000.0,-0.337,203840000000.0,0.0764,517400000000.0,0.885,0.02,0.5996,1520000000.0,7.3629999999999995,0.0664,2.1959,0.122,2.0265,0.25,1.208,0.239,0.187,0.0008,0.7340000000000001,2.3569999999999998,0.444,0.044000000000000004,,0.341,0.0,0.0795,0.1709,0.7424,0.0253,0.5263,0.28800000000000003,2520000000.0,0.344,
IMMU,0.001,225310000000.0,1.0244,19620000000.0,,204620000000.0,1.0745,-353400000000.0,0.907,0.1272,1.3621,20400000000.0,-1.206,0.1553,6.9563,-0.513,4.0164,-1.319,3.0420999999999996,-0.29100000000000004,-1.18,-0.0159,0.9179999999999999,8.719299999999999,,,0.255,,,0.6940000000000001,0.883,1.9694,0.0022,0.509,0.648,4160000000.0,-0.446,
CYRX,0.002,38280000000.0,-0.1796,1740000000.0,0.0,38270000000.0,0.3736,-23200000000.0,0.9359999999999999,0.1677,0.6675,38000000000.0,-0.621,0.0864,2.1571000000000002,-0.14,1.5903,-0.18899999999999997,1.7965,0.258,-0.14,-0.2432,0.525,2.7121,0.106,-0.596,-0.8690000000000001,-0.61,,-0.08470000000000001,0.1471,0.8537,0.009399999999999999,0.629,,,0.539,
DQ,0.764,14110000000.0,-0.0103,1330000000.0,0.0,12240000000.0,-0.1101,61000000000.0,0.722,0.0233,0.8575,505200000000.0,-0.568,-0.3936,1.4443000000000001,0.053,1.1704999999999999,0.106,1.176,0.006,0.04,-0.187,0.262,2.1181,1.023,0.18899999999999997,1.8319999999999999,0.12,0.0,-0.030299999999999997,0.0011,0.585,-0.0246,0.5997,0.29,,0.139,
GRWG,0.064,38620000000.0,0.16570000000000001,787320000000.0,-0.28859999999999997,36120000000.0,-0.2748,1100000000.0,0.536,0.0327,1.1847,123600000000.0,1.222,0.7548,4.3056,0.013999999999999999,2.1375,0.019,2.8951,0.361,0.039,-0.302,0.272,5.095400000000001,1.2309999999999999,0.011000000000000001,0.792,0.009000000000000001,0.0,0.0447,0.3624,1.3814,0.016200000000000003,1.2603,0.2,5160000000.0,1.314,
LSCC,0.009000000000000001,134860000000.00002,0.0384,3800000000.0,-0.1282,132220000000.0,-0.042199999999999994,46300000000.0,,0.0602,0.0196,401600000000.0,2.523,0.013000000000000001,0.8937,0.073,0.4183,0.138,0.4702,-0.047,0.121,-0.11869999999999999,0.595,1.0783,-0.017,0.135,0.22399999999999998,0.115,0.0,-0.0212,-0.050499999999999996,0.2076,-0.0105,0.21109999999999998,0.15,1220000000.0,0.02,
XPEL,0.066,27610000000.0,0.0974,741830000000.0,-0.0917,14860000000.0,-0.0658,14700000000.0,0.196,0.059500000000000004,0.5368999999999999,139300000000.0,0.604,0.1313,1.7174,0.257,1.2077,0.42100000000000004,0.7918000000000001,0.33299999999999996,0.39399999999999996,-0.1334,0.336,2.5,0.18899999999999997,0.131,0.322,0.106,0.0,0.0327,0.21280000000000002,0.6594,0.0123,0.3333,,,0.344,
IMVT,0.5479999999999999,70820000000.0,0.0128,3270000000.0,0.008199999999999999,36610000000.0,0.2241,-58400000000.0,0.324,0.0323,0.4061,,0.065,1.2214,3.097,-0.363,2.8994999999999997,-0.39799999999999996,1.3957,,,-0.0727,,3.5587999999999997,,,0.561,,,0.061200000000000004,0.2844,0.8314,-0.010700000000000001,-0.19399999999999998,,,,
PEIX,0.046,54500000000.0,0.5335,400230000000.0,0.0529,53340000000.0,0.5268999999999999,-79800000000.0,0.201,0.0291,8.0584,1250000000.0,-0.342,-0.0906,18.1892,-0.13699999999999998,8.959299999999999,-0.36200000000000004,9.9231,-0.33399999999999996,-0.175,0.1288,0.005,31.2727,-0.38799999999999996,-0.055,2.613,-0.064,,0.5876,1.3213,5.0901,0.16390000000000002,2.6591000000000005,0.2,5110000000.0,0.052000000000000005,
CLPT,0.032,15500000000.0,0.3118,93420000000.0,0.0,10920000000.0,0.40240000000000004,-6500000000.0,0.078,0.0034999999999999996,0.5665,11700000000.0,0.253,-0.099,0.7687999999999999,-0.361,0.2144,-1.765,0.2271,0.327,-0.6859999999999999,-0.0694,0.7040000000000001,1.0594,-0.51,-0.43,0.48700000000000004,-0.5529999999999999,,0.3308,0.3784,0.37310000000000004,0.0575,-0.063,0.3,,0.255,
APT,0.002,13350000000.0,0.0085,177980000000.0,-0.6285000000000001,12280000000.0,-0.1591,12300000000.0,0.358,0.23670000000000002,-0.156,66599999999.99999,-0.12300000000000001,0.8112999999999999,0.32799999999999996,0.26,3.1433,0.321,3.1312,0.092,0.071,-0.6593000000000001,0.439,3.4281,1.237,0.20199999999999999,4.958,0.185,0.0,-0.006,-0.18489999999999998,0.1752,0.0064,0.40740000000000004,0.15,3020000000.0,-0.004,
CRNC,0.02,36510000000.0,0.0613,2069999999.9999998,-0.046799999999999994,36100000000.0,0.009000000000000001,68300000000.0,0.8934000000000001,0.1477,0.23149999999999998,321700000000.0,-0.20800000000000002,0.1514,2.5051,0.042,1.5006,0.071,1.4163,,0.094,-0.1243,0.66,3.8007,-0.036000000000000004,0.031,,0.212,0.0,0.0151,0.1346,0.7927,-0.0405,0.10099999999999999,0.15,,,
MDNA,0.33130000000000004,48800000000.0,0.0212,188360000000.0,0.0,32520000000.000004,-0.1023,,,0.0013,-0.0178,,,,1.3183,,2.9589999999999996,,0.48460000000000003,,,-0.27440000000000003,,3.4884,,,,,,-0.056100000000000004,-0.0489,0.2445,0.0716,,,,,
PRPL,0.29600000000000004,29280000000.0,-0.0658,1490000000.0,-0.8140999999999999,18200000000.0,0.0382,4300000000.0,0.67,0.2327,0.2072,529200000000.00006,0.21600000000000003,0.461,2.5232,0.024,1.7353999999999998,0.6940000000000001,1.5281,,0.287,-0.2065,0.467,3.9819,0.603,0.10099999999999999,0.5720000000000001,0.008,0.0,0.0762,0.0421,0.5774,-0.020499999999999997,0.973,0.42100000000000004,1440000000.0,,
RCEL,,21470000000.0,0.0946,615930000000.0,,,0.2837,,,,-0.10339999999999999,14260000000.0,0.45399999999999996,,0.2625,,-0.2118,,-0.36950000000000005,,,-0.4817,,0.43450000000000005,0.8029999999999999,,,,,0.1293,0.18170000000000003,-0.1429,0.0031,0.09699999999999999,,,,
BLDP,0.005,243770000000.0,0.15289999999999998,3990000000.0,0.0,187780000000.0,-0.0031,-45000000000.0,0.16399999999999998,0.041299999999999996,0.1838,116500000000.0,-0.141,-0.009399999999999999,1.0242,-0.126,2.0362999999999998,-0.165,1.2159,0.054000000000000006,-0.102,-0.2638,0.218,2.4814,0.08900000000000001,-0.287,-0.564,-0.386,,0.0421,-0.0062,0.37270000000000003,0.0127,0.353,0.0003,4410000000.0,0.091,
STXS,0.024,71630000000.0,-0.045599999999999995,278980000000.0,-0.1881,61020000000.0,0.016200000000000003,-6300000000.0,0.5529999999999999,0.0323,-0.31079999999999997,26200000000.0,-2.7760000000000002,0.256,0.496,-0.13699999999999998,-0.11710000000000001,-0.247,-0.2873,0.182,-0.213,-0.3522,0.7859999999999999,1.2176,-0.221,-0.198,-0.063,-0.242,,0.0158,-0.030600000000000002,-0.08410000000000001,-0.0528,0.154,,,-0.038,
NVAX,0.006999999999999999,58620000000.0,0.1353,6460000000.0,-0.3147,55240000000.0,-0.2632,-93300000000.0,0.53,0.1535,0.6735,50200000000.0,0.449,1.5263999999999998,9.4696,-0.233,15.0533,1.733,26.226100000000002,0.055999999999999994,,-0.4279,,29.6102,9.441,,0.823,,,-0.0028000000000000004,-0.1505,1.2028,-0.061900000000000004,1.3944999999999999,0.0,7980000000.0,-0.095,
KRTX,0.132,26190000000.0,0.1167,2230000000.0,-0.40299999999999997,22740000000.0,0.0304,-42500000000.0,0.838,0.0646,-0.1295,,-1.062,0.1003,0.1502,-0.128,4.0089,-0.13,0.1242,,,-0.4428,,6.5356,,,-0.006999999999999999,,,0.0799,0.0012,-0.0007000000000000001,-0.0255,-0.39899999999999997,,,,
SILV,0.1321,135139999999.99998,0.065,1370000000.0,0.0,121370000000.0,0.1189,,0.5092,0.0143,0.233,,,,0.9614,,0.8439,,0.5074000000000001,,,-0.0863,,2.0976,,,,,,0.0582,0.056299999999999996,0.33880000000000005,-0.024,,,,,
INFU,0.017,20080000000.0,-0.0007000000000000001,283390000000.0,-0.7023999999999999,16190000000.000002,-0.043899999999999995,5700000000.0,0.703,0.019799999999999998,0.15990000000000001,90800000000.0,2.2769999999999997,0.0818,1.2812000000000001,0.07,1.5868,0.245,0.6073,-0.152,0.055,-0.0974,0.593,1.7557,0.32,0.083,9.338,0.062,0.0,-0.0103,0.042699999999999995,0.2693,-0.0151,0.3922,0.2,,0.040999999999999995,
VVPR,0.8128,13560000000.0,0.3785,131889999999.99998,0.0,12290000000.0,1.185,,0.015,0.0213,4.6026,48700000000.0,,0.4857,12.656300000000002,,5.3842,,7.3238,,,-0.4111,0.16,13.8136,-0.065,,,,,0.2725,1.1804000000000001,3.8938,0.098,,,2430000000.0,,
MICT,0.233,11100000000.0,0.1018,63790000000.0,-0.2447,3860000000.0,0.2709,-3600000000.0,0.141,0.1246,3.812,0.0,0.518,-0.0154,6.7762,-0.375,9.2364,-1.0,5.3237,-0.015,-0.703,-0.3337,,13.8158,,,1.114,,,0.1761,0.469,2.2161,0.168,0.871,,1210000000.0,-0.575,
ZLAB,0.0764,73850000000.0,0.0545,5840000000.0,0.0,63970000000.0,-0.012199999999999999,-240400000000.0,0.6990000000000001,0.0397,-0.0195,28800000000.0,-0.146,0.041100000000000005,0.6496999999999999,-0.552,1.3091,-0.645,0.9059999999999999,,-0.675,-0.11410000000000001,0.727,1.6935,4.618,,0.015,,,-0.0029,-0.0128,0.245,-0.019299999999999998,0.04,,,,
TWST,0.033,41840000000.0,0.0848,3050000000.0,-0.30219999999999997,35730000000.0,0.0408,-146800000000.0,0.903,0.1176,0.7293999999999999,73400000000.0,-0.465,0.1672,1.829,-0.528,1.4409999999999998,-0.6759999999999999,2.229,,-0.6829999999999999,-0.0581,0.23399999999999999,2.6614,0.5589999999999999,,0.268,,,0.0231,0.0909,0.7476,0.046900000000000004,0.45799999999999996,,,,
CGEN,0.12,81270000000.0,0.209,1490000000.0,0.0,,-0.004699999999999999,-26300000000.0,0.484,,0.2144,,-0.051,0.25739999999999996,1.8065,-0.271,3.3557,-0.325,2.1644,-0.131,,-0.052300000000000006,,3.9274,,,0.21,,,0.1043,0.1491,0.6056,0.0385,-0.21600000000000003,,1480000000.0,,
BNTX,0.0126,232360000000.0,0.0287,14990000000.0,0.0,220450000000.0,0.0213,-274500000000.0,0.114,0.0232,0.3045,143400000000.0,-3.005,3.4254000000000002,0.4409,,,,0.9776,,-0.314,-0.3619,0.8340000000000001,4.3493,-0.037000000000000005,,-2.7,,,0.0366,-0.0861,0.3179,0.0033,21.221999999999998,,3590000000.0,,
CELH,0.008,69400000000.0,0.063,1540000000.0,-0.6995999999999999,26190000000.0,-0.1363,1900000000.0,0.462,0.1173,1.1575,102800000000.0,1.7209999999999999,-0.0705,4.6788,0.021,5.1573,0.028999999999999998,3.5383,0.289,-0.02,-0.1809,0.435,6.1634,0.863,0.027000000000000003,1.848,0.018000000000000002,0.0,0.0608,0.1991,1.386,-0.0009,1.2821,,,0.38799999999999996,
DYAI,0.3019,27470000000.0,0.0704,225600000000.0,0.0,19220000000.0,0.022799999999999997,-8300000000.000001,0.248,0.0761,-0.1094,1700000000.0,-0.496,0.42700000000000005,1.015,-0.22899999999999998,0.35229999999999995,-0.23800000000000002,0.556,-0.11900000000000001,-0.259,-0.2659,0.009000000000000001,2.2112,0.25,,0.039,,,0.0252,-0.0338,0.2227,0.04,2.0,,,-0.331,
LEU,0.02,9680000000.0,0.0593,132979999999.99998,1.9157,6660000000.0,-0.1069,57200000000.0,0.161,0.0412,-0.010700000000000001,281100000000.0,0.792,0.034,1.3976,0.127,2.1451,-0.175,0.48109999999999997,-0.157,0.09,-0.4879,0.376,2.1844,6.142,0.2,2.735,0.203,0.0,-0.0058,-0.18600000000000003,0.1852,-0.0387,-0.4733,,,-0.16399999999999998,
NLTX,0.22089999999999999,49390000000.0,0.1417,582060000000.0,0.0192,32710000000.0,0.0463,-85600000000.0,0.605,0.0836,-0.17980000000000002,,-0.9129999999999999,0.10800000000000001,0.7304,-0.665,3.1601999999999997,-0.722,0.1278,0.013000000000000001,,-0.2336,,4.4921,,,,,,0.09910000000000001,0.1698,0.2052,-0.0089,-0.198,0.252,,,
RUN,0.043,120280000000.0,0.0891,7770000000.0,-0.16829999999999998,89120000000.0,0.2642,0.0,0.934,0.1791,2.0591,851500000000.0,-0.066,0.019799999999999998,6.2799000000000005,0.0,2.4857,0.0,3.407,0.18,-0.057999999999999996,-0.0479,0.22699999999999998,6.7677,-0.114,-0.3,-9.094,0.0,0.0,0.1197,0.32159999999999994,1.6012,0.0225,1.6698,-0.001,4720000000.0,0.34,
SEDG,0.015,49790000000.0,0.012199999999999999,9490000000.0,-0.3129,48160000000.0,-0.1563,172100000000.0,0.9309999999999999,0.0814,0.21230000000000002,1590000000.0,0.08900000000000001,0.046,1.675,0.11599999999999999,1.0824,0.20800000000000002,0.9582999999999999,0.392,0.187,-0.1886,0.33,1.7784,0.021,0.135,0.052000000000000005,0.109,0.0,-0.09029999999999999,-0.0432,0.40380000000000005,-0.0044,0.2785,0.2,1060000000.0,0.344,
SHLL,,29130000000.0,0.04650000000000001,1520000000.0,,23060000000.0,0.8904000000000001,-700000000.0,0.36700000000000005,0.10679999999999999,2.5613,,,-0.41490000000000005,3.9751,-0.003,,-0.003,4.005,,,-0.1476,,4.2632,,,-3.7910000000000004,,,0.1332,0.6271,2.1306,0.0434,,,6880000000.0,,
ZYXI,0.075,33280000000.0,0.1104,607330000000.0,-0.32020000000000004,19480000000.0,0.0644,10900000000.0,0.305,0.2609,-0.2851,60500000000.0,-0.004,0.5417000000000001,0.7587,0.35600000000000004,0.7731999999999999,0.505,1.1855,0.278,0.435,-0.4214,0.7929999999999999,1.2903,0.8740000000000001,0.212,0.375,0.18100000000000002,0.0,0.10640000000000001,-0.0529,0.1323,-0.0012,0.7652,,1030000000.0,0.325,
CCXI,0.042,63280000000.0,0.1506,3760000000.0,-0.4113,52440000000.0,0.0207,-29800000000.0,0.773,0.10060000000000001,-0.0527,76100000000.0,-0.28,0.2163,0.5018,-0.10300000000000001,6.2872,-0.196,0.3985,0.021,-0.68,-0.1547,,7.5885,5.861000000000001,-0.415,2.119,-0.392,,0.0776,0.0344,0.1402,0.0521,-0.8490000000000001,,,,
ARCT,0.22399999999999998,18790000000.0,0.2148,1200000000.0,-0.0006,18790000000.0,-0.1918,-38500000000.0,0.528,0.0819,0.1373,11300000000.0,0.005,1.6265,2.8816,-0.39299999999999996,2.8122000000000003,-0.894,3.3137,0.337,,-0.2921,,4.51,-0.775,,-7.3,,,0.0051,-0.0848,0.5661999999999999,0.029900000000000003,1.2009999999999998,,,,
ATLC,0.036000000000000004,14430000000.0,0.1376,207820000000.0,-0.011899999999999999,6660000000.0,0.4462,35400000000.0,0.179,0.1174,0.015700000000000002,430700000000.0,1.9509999999999998,-0.2029,1.3497,0.039,0.4446,4.855,0.43170000000000003,0.264,0.034,-0.29760000000000003,0.743,1.58,0.529,0.12300000000000001,1.6580000000000001,0.08199999999999999,0.0,0.2341,0.3493,0.1406,-0.0584,,0.2,,0.154,
SBSW,,668400000000.0,-0.081,8430000000.0,,166880000000.0,0.0294,574900000000.0,0.149,0.0333,0.5578,6180000000.0,1.022,-0.094,2.3315,0.096,1.5123,0.306,0.2346,-0.5379999999999999,0.183,-0.11699999999999999,0.218,2.5029,1.301,0.2,,0.09300000000000001,0.0,-0.0171,0.049800000000000004,0.3271,-0.0024,0.6359,,2810000000.0,0.273,
DKNG,0.10099999999999999,355600000000.0,0.336,20210000000.0,-0.2955,278590000000.0,0.5272,2800000000.0,0.515,0.0708,0.3188,357400000000.0,,4.2176,3.8249,0.006,,0.006,4.1766000000000005,,,0.0197,,4.6291,0.23600000000000002,,,,0.0,0.36700000000000005,0.506,1.2907,0.0429,0.32,0.4,16300000000.0,,
AWH,0.017,98120000000.0,0.0,317710000000.0,1.188,50810000000.0,-0.059000000000000004,-14700000000.0,0.273,0.1305,-0.3387,4600000000.0,-0.085,0.2593,3.0709,-1.0959999999999999,4.4141,-1.78,2.5432,0.19899999999999998,-1.528,-0.5035000000000001,0.313,7.186,-0.364,,0.31,,,0.0068000000000000005,-0.1804,0.35100000000000003,-0.0171,,,,0.125,
