,Insider Own,Shs Outstand,Perf Week,Market Cap,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,Payout,SMA20,SMA50,SMA200,Change,EPS next Y,EPS next 5Y,Avg Volume,Sales past 5Y,Dividend %
OCN,0.023,8650000000.0,0.31989999999999996,208740000000.0,-0.6352,7890000000.0,0.1716,-26400000000.0,0.526,0.0165,1.5631,1030000000.0,-1.065,-0.1325,2.2721999999999998,-0.003,-0.20670000000000002,-0.076,0.1465,0.217,0.034,-0.2263,0.713,4.5876,-0.172,0.359,1.047,-0.031,,0.2422,0.3034,0.5608,0.0632,-0.33299999999999996,0.03,,-0.11900000000000001,
TAOP,0.42200000000000004,6970000000.0,-0.099,18480000000.0,0.0,4360000000.0,-0.09,-3600000000.0,0.019,0.0191,-0.0473,13800000000.0,-3.1060000000000003,0.7008,0.2076,-0.08900000000000001,-0.1727,-0.53,-0.1875,0.358,-0.305,-0.818,0.479,0.4677,0.89,-0.302,-2.855,-0.26,,-0.0381,-0.071,-0.0867,-0.0144,,0.23,2290000000.0,-0.18600000000000003,
HWCC,0.076,16440000000.000002,-0.0326,43920000000.0,0.1412,15320000000.0,0.0075,-3000000000.0,0.7120000000000001,0.006500000000000001,0.068,318000000000.0,-0.705,0.02,0.2419,-0.013000000000000001,-0.4355,-0.028999999999999998,-0.3946,-0.289,0.03,-0.4472,0.226,0.5988,-0.217,-0.002,-2.329,-0.009000000000000001,,-0.0052,0.0113,-0.0913,-0.039599999999999996,,0.15,,-0.027999999999999997,
ATI,0.005,126600000000.0,0.1036,1190000000.0,0.0,125810000000.0,0.10869999999999999,-234000000000.0,0.966,0.0874,-0.0323,3760000000.0,0.11599999999999999,-0.046900000000000004,0.5344,-0.042,-0.5301,-0.11599999999999999,-0.5357999999999999,1.516,0.10300000000000001,-0.6032,0.14300000000000002,0.9373999999999999,-0.287,-0.017,-7.2410000000000005,-0.062,,0.0946,0.0501,-0.22719999999999999,-0.0154,0.675,-0.03,2550000000.0,-0.005,
CEQP,0.0738,73200000000.0,0.0625,995020000000.0,0.0,50430000000.0,-0.022000000000000002,-67599999999.99999,0.569,0.0805,-0.1173,2740000000.0,-1.4369999999999998,-0.1336,1.7375999999999998,-0.013000000000000001,-0.6461,-0.054000000000000006,-0.5532,-0.008,0.11,-0.6548,0.245,4.1962,-0.484,0.046,-1.2830000000000001,-0.025,,0.0109,-0.0038,-0.1974,0.0007000000000000001,1.008,0.05,,-0.040999999999999995,0.1816
PRPO,0.002,16430000000.0,0.028399999999999998,37020000000.0,0.2076,16219999999.999998,-0.1523,-14500000000.0,0.008,0.07200000000000001,0.9204000000000001,4000000000.0,0.8320000000000001,-0.5318,2.1223,-0.723,-0.0958,-1.105,0.058499999999999996,0.682,-0.912,-0.7287,0.076,2.9455,0.444,,0.8109999999999999,,,-0.0332,-0.0695,0.3795,0.028399999999999998,0.708,0.2,4110000000.0000005,0.203,
TGI,0.013000000000000001,51860000000.0,0.4215,459040000000.0,0.0,51210000000.0,0.30510000000000004,-323500000000.0,0.8690000000000001,0.0635,-0.06480000000000001,2670000000.0,0.914,-0.1389,0.9209999999999999,-0.122,-0.6291,0.43799999999999994,-0.6343,-0.162,0.051,-0.6855,0.205,2.0596,-0.322,-0.086,,-0.121,,0.2821,0.2534,-0.27690000000000003,0.0782,1.9569999999999999,-0.1144,1740000000.0,-0.057,0.0173
AMRS,0.006999999999999999,184830000000.0,0.21239999999999998,779470000000.0,1.9101,116100000000.0,-0.2207,-326500000000.0,0.42200000000000004,0.18789999999999998,-0.2793,134600000000.0,0.278,0.3431,0.2668,-1.8030000000000002,-0.355,1.817,-0.0858,-0.519,,-0.5346,0.419,1.0179,-0.611,,0.593,,,-0.09269999999999999,-0.2419,-0.1525,-0.0225,0.74,0.3,2410000000.0,0.287,
TK,0.41700000000000004,101110000000.0,0.0246,249700000000.0,0.0,69170000000.0,-0.0741,-214900000000.0,0.295,0.0408,-0.027200000000000002,2060000000.0,-2.8789999999999996,-0.19030000000000002,0.1364,-0.027999999999999997,-0.45049999999999996,-0.45799999999999996,-0.5301,-0.32299999999999995,0.034,-0.5660000000000001,0.447,0.2255,0.055,0.157,1.548,-0.10400000000000001,,-0.0085,-0.0024,-0.2371,0.0,,0.12,,-0.005,
NCMI,0.004,78000000000.0,0.0088,299490000000.0,,76980000000.0,0.10220000000000001,10800000000.0,0.8590000000000001,0.0833,0.053399999999999996,326400000000.0,1.4509999999999998,-0.12869999999999998,0.2778,0.009000000000000001,-0.5898,-0.027000000000000003,-0.5267000000000001,0.154,0.26,-0.6496999999999999,0.696,1.1296,-0.9640000000000001,0.268,-2.543,0.033,4.26,-0.0292,0.0716,-0.2415,0.048600000000000004,1.913,-0.0633,,0.025,0.0812
NRP,0.21559999999999999,12260000000.0,0.1091,142440000000.0,0.0,8950000000.0,0.0821,-212800000000.0,0.387,0.0055000000000000005,-0.0521,180200000000.0,-2.0,,0.106,-0.195,-0.5617,-0.633,-0.4033,-0.204,0.026000000000000002,-0.5681,,0.4118,-0.624,-0.8079999999999999,,,,0.09300000000000001,0.1267,-0.1618,0.0,1.317,0.0,,-0.059000000000000004,0.15
GOGL,0.055999999999999994,142350000000.0,-0.0308,480420000000.0,0.0,91470000000.0,-0.1953,-124400000000.0,0.223,0.009899999999999999,-0.1499,717700000000.0,-0.5579999999999999,-0.1348,0.2401,-0.044000000000000004,-0.4233,-0.08800000000000001,-0.4045,-0.3,0.036000000000000004,-0.4669,0.40299999999999997,0.373,0.003,-0.054000000000000006,-0.261,-0.17300000000000001,,-0.0931,-0.1054,-0.1438,-0.0281,4.312,-0.002,,0.488,0.057800000000000004
NRT,0.001,9190000000.0,-0.0066,28810000000.0,0.2238,9130000000.0,-0.0444,4600000000.0,0.094,0.0008,-0.2202,5400000000.0,0.183,-0.031200000000000002,0.16670000000000001,3.612,-0.5065999999999999,,-0.4907,-0.159,75.63600000000001,-0.5474,0.8540000000000001,0.37439999999999996,-0.33299999999999996,0.861,-0.368,0.855,1.1540000000000001,-0.049400000000000006,-0.0682,-0.23850000000000002,-0.0353,,,,-0.151,0.1462
LOV,0.2082,25750000000.0,0.0068000000000000005,115980000000.0,0.0,19300000000.0,-0.19820000000000002,-12700000000.0,0.414,0.0012,0.2783,240200000000.0,-1.68,-0.0484,0.9687,-0.054000000000000006,-0.2944,-0.134,-0.0265,,-0.026000000000000002,-0.3467,0.344,1.4442,0.951,0.013999999999999999,0.82,-0.053,,-0.0821,-0.0603,0.0629,-0.0475,4.8364,,,,
