,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,shortPercentOfFloat,regularMarketPrice,forwardPE,enterpriseToEbitda,forwardEps,pegRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,payoutRatio,dividendRate,fiveYearAvgDividendYield,dividendYield
FRHC,24.21,24.71,18.095642,24.75,24.21,22.331142,24.71,0.722965,24.36,35.568344,10.766986,24.36,24.72,24.75,11.25,24.65,24.75,8.356,0.30209,2.817,0.009,0.01059,0.695,8.775293,0.72846,2.39,1.904,0.033099998,24.71,,,,,,,,,,
FSLY,82.38,79.62,54.763786,84.72,82.38,86.685425,79.62,,79.46,,35.77705,79.46,84.49,117.79,10.63,83.2,84.72,31.039,-0.21389,5.162,0.0774,0.42012,-0.55,16.228205,0.115930006,0.61,,0.0999,79.62,2094.25,-208.146,0.04,-91.53,,,,,,
RDVT,18.92,19.19,18.337143,19.25,18.92,19.159714,19.19,0.478504,18.62,,6.8254395,18.62,19.17,28.698,11.575,18.82,19.25,6.478,-0.29293,3.765,0.106000006,0.20639999,-0.863,5.0278883,0.53051996,17.45,,0.1849,19.19,,-29.039,,,,,,,,
HMY,5.77,5.8,4.3359284,5.8,5.77,6.1165714,5.8,0.456283,5.5,,,5.5,5.59,7.61,1.76,5.6,5.8,,-0.043920003,3.746,0.0199,0.36028,-0.741,1.4762414,,0.8,,,5.8,11.285714,,0.49,,0.009012132,0.052,,,,
NKLA,33.83,34.08,41.893303,34.28,33.83,38.985714,34.08,,32.78,,29448.543,32.78,34.1,93.99,10.27,33.95,34.28,26097.9,,,0.0252,,,,,0.54,,,34.08,,-75.142,,,,,,,,
ATXI,11.16,11.35,9.969607,12.09,11.16,11.152286,11.35,0.195421,10.9,,,10.9,11.22,12.34,4.963,10.9,12.09,,,0.246,0.0089,0.10170999,-0.656,46.747967,0.61409,4.68,,0.060500003,11.35,76.666664,,0.15,,,,,,,
IDN,6.65,6.78,6.3007145,6.94,6.65,6.786857,6.78,2.163322,6.52,,12.290035,6.52,6.9,10.54,1.91,5.86,6.94,10.116,-0.122209996,1.224,0.0375,0.45896,-0.074,5.359477,0.09549,,,0.045500003,6.78,29.818182,-94.56,0.22,-33.25,,,,,,
MCRB,26.86,26.16,8.53925,26.24,26.86,21.518429,26.16,4.479375,24.26,,79.28661,24.26,25.7,,2.52,25.55,26.24,66.587,-2.62339,-0.873,0.0587,0.80148005,-1.065,,0.10002,0.75,,0.1012,26.16,-18.586956,-27.699,-1.38,0.21,,,,,,
INS,37.68,38.02,33.541786,38.11,37.68,35.803715,38.02,1.200668,36.35,32.609474,9.104383,36.35,36.95,49.9,23.26,37.33,38.11,8.372,0.28056,4.55,0.106000006,0.47276002,1.119,8.01978,0.29549,18.13,0.044,0.1546,38.02,19.306879,20.601,1.89,,,,,,,
CLCT,53.78,54.54,29.67,55.55,53.78,44.728287,54.54,1.685618,53.13,45.151257,6.4872723,53.13,53.81,55.58,13.26,53.67,55.55,5.353,0.13672,2.707,0.0496,0.70369005,1.19,19.848541,0.03571,4.16,-0.062,0.0509,54.54,,24.053,,,0.013015991,0.7,0.5882,0.7,5.59,0.012999999
SITM,71.33,72.03,40.51625,73.41,71.33,65.860855,72.03,,70.74,,12.578215,70.74,89.75,81.6,,72.07,73.41,10.46,-0.09297,0.378,0.0337,0.32999,-0.559,192.35449,0.75827,5.1,,0.0847,72.03,86.559525,2071.247,0.84,59.44,,,,,,
ICAD,10.65,10.8,10.319786,11.93,10.65,10.198,10.8,1.322742,10.725,,9.049154,10.725,10.5,15.31,5.91,11.57,11.93,6.706,-0.69879997,1.158,0.0469,0.28594,-1.011,10.017272,0.102290004,6.55,,0.0515,10.8,-55.2381,-20.787,-0.21,-1.51,,,,,,
CVM,12.73,,13.165,14.47,12.73,12.950571,,2.15942,12.53,,912.863,12.53,14.31,,,14.23,14.47,833.62,,0.494,0.24190001,0.21777001,-0.826,29.028341,0.04476,24.74,,0.2527,,-130.36363,-20.684,-0.11,,,,,,,
SAFE,58.02,58.33,54.562428,58.5518,58.02,54.40543,58.33,-0.397202,56.64,55.31977,22.333271,56.64,57.33,67.18,29.49,52.6,58.5518,33.594,0.35524,24.195,0.020399999,0.29694,1.032,2.3595784,0.67623,7.42,1.767,0.0551,58.33,40.489365,39.407,1.41,1.28,0.010858324,0.63,0.64309996,0.65,,0.0112
CXDO,7.9,7.84,6.424586,8.29,7.9,9.259458,7.84,2.142697,7.22,107.28572,7.47297,7.22,8.63,12.781,,7.9,8.29,8.671,0.07934,0.382,0.0015,0.00296,0.07,19.659687,0.72664,0.49,0.503,0.0053,7.84,53.64286,90.829,0.14,,,,,,,
HGBL,2.52,2.4902,1.7397857,2.52,2.52,3.0202856,2.4902,1.028428,2.465,19.153847,3.2589478,2.465,2.51,4.2,0.55,1.25,2.52,3.041,0.17159,0.48,0.0001,0.099659994,0.13,5.1875,0.35682,0.07,0.365,0.0002,2.4902,5.659091,26.805,0.44,,,,,,,
PRVB,14.82,15.04,12.010322,15.4283,14.82,12.789857,15.04,3.56269,14.8301,,,14.8301,15.36,18.5,4.72,,15.4283,,,2.913,0.0752,0.21765,-1.188,5.217988,0.25634,7.09,,0.083000004,15.04,-7.9166665,,-1.92,,,,,,,
DOCU,193.39,195.38,151.6895,195.7409,193.39,212.30429,195.38,0.856467,188.06,,31.007679,188.06,194.98,290.23,59.58,194.35,195.7409,31.509,-0.17735,2.711,0.0424,0.83857,-1.135,71.87754,0.0718,2.38,,0.050300002,195.38,209.52689,-275.591,0.93,10.87,,,,,,
INO,15.67,15.45,14.307428,18.4685,15.67,14.363714,15.45,1.090301,14.891,,1039.0497,14.891,16.93,33.79,1.92,16.85,18.4685,517.388,,1.173,0.3094,0.29409,-1.852,14.492754,0.026919998,3.3,,0.3158,15.45,28.333332,-13.286,0.6,,,,,,,
BCLI,14.62,14.77,9.462,15.21,14.62,13.1945715,14.77,1.07748,14.56,,,14.56,15.02,17.2,3.58,15.02,15.21,,,0.331,0.1233,0.08795,-1.154,45.589123,0.22337,8.2,,0.1348,14.77,-21.557144,-14.167,-0.7,,,,,,,
MTA,8.39,8.35,6.2027516,8.6603,8.39,8.797429,8.35,3.643895,8.275,,,8.275,8.35,10.108,,8.3,8.6603,,-1.8052901,,0.0067000003,0.09822,,,0.25263,0.5,,,8.35,,,,,,,,0.03,,0.0037
FLNG,5.8491,5.76,5.1665716,5.835,5.8491,5.758657,5.76,0.38253,5.63,38.4,2.0800781,5.63,6.12,11.8,3.4,5.39,5.835,6.751,0.01914,15.168,0.0069999998,0.19859,0.15,0.37974685,0.4586,17.15,,0.012999999,5.76,,9.38,,,0.017096648,0.1,,0.4,,0.0681
EIDX,49.86,50.44,45.595715,,49.86,43.19057,50.44,-0.350612,,,76.21426,,52.74,66.559,28.39,52.84,,62.605,-2.3874002,3.872,0.048800003,0.32455003,-1.696,13.620869,0.66331,32.84,,0.171,50.44,-16.9582,-26.963,-3.11,-0.64,,,,,,
HZNP,77.96,,50.654213,81.11,77.96,73.11343,,1.207357,78.14,31.357395,12.1157465,78.14,79.92,81.18,23.81,79.93,81.11,9.93,0.34091,11.832,0.0185,0.91659,2.549,6.7554092,0.01307,1.51,,0.0188,,18.459585,105.657,4.33,0.96,,,,,,
IMMU,85.34,85.7,33.368927,85.78,85.34,48.091713,85.7,3.409698,85.26,,970.63464,85.26,85.59,86.91,8.8,85.51,85.78,431.997,,2.569,0.1126,0.81313,-1.703,33.29311,0.00137,,,0.1261,85.7,-158.38889,-28.469,-0.54,-1.19,,,,,,
DQ,114.22,115.72,76.63357,116.559,114.22,116.323425,115.72,0.923634,111.31,26.300756,3.064754,111.31,113.27,137.03,35.73,111.02,116.559,3.55,0.120129995,42.719,0.020499999,0.51493,4.236,2.607973,0.12582,0.98,,,115.72,6.515205,11.544,17.1,0.37,,,,,,
LSCC,28.44,,24.832787,29.02,28.44,29.325428,,1.100334,27.67,83.00885,9.4808035,27.67,28.17,31.93,13.54,28.15,29.02,9.205,0.11534,2.694,0.0589,1.04744,0.339,10.445434,0.01158,8.67,0.242,0.067600004,,37.026314,43.117,0.76,3.01,,,,,,
IMVT,38.43,38.78,23.326277,40.22,38.43,32.11886,38.78,,37.18,,,37.18,40.5,,8.34,38.19,40.22,,,,0.0145000005,0.21096,,,0.73181,2.86,,0.0342,38.78,,-39.295,,,,,,,,
PEIX,6.1,6.15,1.446,7.24,6.1,4.087714,6.15,3.942586,6.13,,0.3246537,6.13,7.08,7.24,0.22,6.98,7.24,0.36,-0.06303,3.798,0.0273,0.31491,-1.561,1.8694049,0.071779996,0.17,,0.0317,6.15,6.016949,148.632,1.18,1.17,,,,,,
CLPT,5.57,5.57,3.9699695,6.72,5.57,4.3425713,5.57,0.96321,5.57,,8.350753,5.57,5.9,6.72,2.8601,5.84,6.72,6.193,-0.55275,,0.0023999999,0.07101,,,0.45444,0.72,,0.0027,5.57,,-15.068,,-0.39,,,,,,
APT,14.08,14.28,14.980857,14.65,14.08,15.874,14.28,-1.114269,14.09,15.368764,2.8909345,14.09,14.29,41.59,3.2,14.11,14.65,2.533,0.18518,3.443,0.214,0.2451,0.922,4.115597,0.17573999,1.81,5.158,0.2367,14.28,5.3270674,11.906,2.66,0.5,,,,,,
CRNC,56.99,58.1,34.689644,58.18,56.99,52.730858,58.1,,53.81,,6.2413883,53.81,55.55,62.44,11.39,54.58,58.18,6.386,0.21242,,0.1452,0.89338994,,,0.00226,6.65,,0.16209999,58.1,,35.244,,2.77,,,,,,
MDNA,3.6021,3.56,3.2964063,3.96,3.6021,4.030316,3.56,0.74072,3.56,,,3.56,,5.03,1.46,3.89,3.96,,,,0.00090000004,,,,0.33128,0.86,,,3.56,,,,,,,,,,
PRPL,22.48,22.53,15.292108,22.81,22.48,21.796715,22.53,1.956274,21.67,96.1572,2.2573729,21.67,23.36,27.75,4.42,22.01,22.81,1.522,0.008119999,0.524,0.078099996,0.80495,0.229,42.022903,0.036730003,2.79,,0.0949,22.53,28.597404,13.472,0.77,1.07,,,,,,
RCEL,28.6,28.94,28.138643,29.34,28.6,24.562572,28.94,0.792168,28.69,,43.18385,28.69,29.23,55.35,,25.66,29.34,192.264,-2.9467802,,0.0091,,,,,1.7,,0.0093,28.94,,-64.961,,0.36,,,,,,
STXS,3.98,3.97,3.8630714,4.03,3.98,3.7865715,3.97,1.47826,3.67,,10.542828,3.67,3.71,5.82,1.7,3.4,4.03,9.793,-0.18832001,0.489,0.0269,0.43332002,-0.093,7.7096114,0.22434999,9.39,,0.0507,3.97,-34.272728,-50.526,-0.11,,,,,,,
NVAX,115.51,114.94,68.382355,114.9,115.51,126.57429,114.94,1.502787,104.78,,132.17274,104.78,107.5,189.4,3.54,107.06,114.9,116.946,-1.85632,3.015,0.1384,0.13891,-2.402,35.940296,0.0036300002,0.98,,0.1389,114.94,4.982069,-66.076,21.75,,,,,,,
KRTX,86.92,87.86,84.87914,87.86,86.92,80.968,87.86,,82.15,,,82.15,84.79,,11.24,76.25,87.86,,,6.942,0.0552,0.6353,-1.901,12.201095,0.21173,9.61,,0.122700006,87.86,-30.25,-35.527,-2.8,,,,,,,
SILV,10.41,10.47,8.045929,10.58,10.41,9.606571,10.47,2.06633,10.08,,,10.08,10.21,11.12,3.28,10.05,10.58,,,0.441,0.0128,0.5092,-0.066,23.038548,0.13207,1.77,,,10.47,,,,,,,,,,
INFU,13.92,14.17,11.551642,14.405,13.92,13.673142,14.17,0.59253,13.7,52.328247,3.0754998,13.7,15.98,15.19,5.13,14.06,14.405,3.586,0.06288,1.301,0.0159,0.59331,0.262,10.538048,0.22825001,2.69,9.866,0.0307,14.17,39.17143,16.642,0.35,2.78,,,,,,
MICT,4.82,,2.101407,5.82,4.82,4.4,,1.028428,4.655,,,4.655,5.62,8.45,0.38,5.49,5.82,,,-0.361,0.0403,0.24023001,-0.327,,0.25765,0.17,,0.0644,,-140.75,-25.677,-0.04,,,,,,,
ZLAB,80.83,80.89,70.33529,81.82,80.83,79.74514,80.89,0.977682,77.82,,207.62444,77.82,,89.48,29.43,77.2,81.82,180.144,,6.216,0.0339,0.65759003,-3.394,12.752573,0.07639,7.36,,,80.89,-23.804804,-21.308,-3.33,,,,,,,
TWST,64.77,60.75,44.74857,68.175,64.77,65.10514,60.75,,63.65,,43.194798,63.65,67.8,71.99,18.52,60.04,68.175,34.303,-1.9997799,7.82,0.0941,0.74827003,-4.053,8.671355,0.2348,7.98,,0.1125,60.75,-33.569305,-21.142,-2.02,,,,,,,
CGEN,18.16,18.35,13.861286,18.91,18.16,17.016285,18.35,2.731326,17.81,,,17.81,18.8,19.9,3.83,17.51,18.91,,,1.566,0.083500005,0.31243,-0.37,12.043424,0.00183,4.04,,0.12060001,18.35,-41.911114,-91.569,-0.45,,,,,,,
BNTX,66.78,68.01,58.623215,68.34,66.78,68.59257,68.01,,65.2,,,65.2,67.27,,12.525,67.49,68.34,,-1.8243699,,0.0215,0.04147,,,0.012569999,1.87,,,68.01,-75.2809,,-0.89,5.2,,,,,,
CELH,21.94,22.18,10.994643,24.2,21.94,20.29857,22.18,1.555183,21.18,782.8571,15.838718,21.18,21.92,26.76,3.06,21.87,24.2,13.86,0.01841,0.986,0.0442,0.14991,0.028,22.231237,0.62949,2.39,,0.085,22.18,121.77777,336.937,0.18,,,,,,,
LEU,10.6,10.46,9.418214,10.9,10.6,12.675428,10.46,3.367892,10.02,1.7338778,0.4364517,10.02,10.29,19.9,3.3,10.15,10.9,0.334,0.23122999,-31.182,0.0231,0.189,5.877,,0.39213002,1.13,,0.0287,10.46,6.4493666,1.276,1.58,,,,,,,
NLTX,14.02,14.18,12.059643,14.32,14.02,12.238143,14.18,1.001114,13.64,,,13.64,14.5,18.13,2.53,13.93,14.32,,,2.376,0.0655,0.50552,-2.736,5.8480644,0.2209,11.19,,0.0767,14.18,-11.579166,-10.227,-1.2,-0.61,,,,,,
RUN,59.52,60.2,26.552143,63.25,59.52,50.743427,60.2,1.977146,59.65,,9.069563,59.65,61.2,63.92,7.835,60.21,63.25,12.218,-4.0000003e-05,7.262,0.1258,0.96322,-0.009,8.380611,0.05368,3.41,,0.2086,60.2,106.771935,-210.116,0.57,-2834.3,,,,,,
SEDG,187.03,,145.57246,,187.03,205.51143,,0.794314,180.31,55.68481,5.862725,180.31,188.99,229.49,67.02,,,5.478,0.10888,18.468,0.0783,0.86423,3.344,10.082846,0.04462,3.79,0.107,0.0797,,38.47314,32.321,4.84,2.47,,,,,,
SHLL,47.92,48.5,18.8393,51.94,47.92,35.415714,48.5,,48.06,,,48.06,50.81,58.66,9.5,50.15,51.94,,,0.172,0.0846,0.77089995,-0.023,290.69766,,0.45,,0.1317,48.5,,,,,,,,,,
ZYXI,17.22,17.43,17.515285,17.72,17.22,16.353714,17.43,0.703455,16.841,53.750004,9.871611,16.841,17.39,29.73,7.51,17.19,17.72,8.7,0.18082,0.811,0.1464,0.1989,0.32,21.208385,0.4975,6.45,0.395,0.2792,17.43,29.655174,37.722,0.58,,,,,,,
CCXI,52.57,53.37,52.207428,56.51,52.57,52.497143,53.37,1.722408,52.5025,,50.087334,52.5025,,65.43,6.44,,56.51,37.596,-0.39183998,6.121,0.0766,0.67078,-0.496,9.036106,0.28927,11.38,,0.1137,53.37,-39.507145,-92.435,-1.4,,,,,,,
ARCT,45.53,46.45,37.98407,47.66,45.53,49.42743,46.45,3.100927,44.57,,101.613884,44.57,47.1,66.24,8.51,45.7,47.66,73.402,,4.533,0.0631,0.30923998,-2.519,10.344143,0.29925,2.34,,0.0796,46.45,109.04651,-20.856,0.43,,,,,,,
ATLC,13.7,13.99,11.328215,13.99,13.7,9.606286,13.99,0.703455,12.7541,6.2651772,1.3358269,12.7541,14.25,18.36,,12.92,13.99,5.838,0.28531,1.53,0.048899997,0.15517999,2.059,8.431373,0.57985,74.49,3.417,0.1158,13.99,,,,,,,,,,
DKNG,53.11,53.25,29.109476,55.7,53.11,38.313572,53.25,,52.63,,55.110878,52.63,54.96,55.7,9.85,54.77,55.7,37.764,-0.88188004,,0.026300002,0.108330004,,,0.48935002,1.7,,,53.25,,-51.487,,-1.06,,,,,,
KRMD,7.85,7.96,9.3319645,8.19,7.85,8.896143,7.96,0.22185,7.46,,12.464644,7.46,7.63,12.84,3.25,7.1,8.19,11.139,-0.00205,,0.026199998,0.57048,,,0.16061,4.1,,0.0545,7.96,,61.219,,,,,,,,
KOD,54.52,56.44,52.910427,58.19,54.52,49.76486,56.44,,55.2437,,,55.2437,56.86,82.75,13.39,56.84,58.19,,,6.972,0.0716,0.84181,-1.881,8.176993,0.20673999,15.97,,0.1325,56.44,-12.84009,-21.78,-4.44,-1.66,,,,,,
REKR,7.22,7.36,4.0125,7.7899,7.22,5.357714,7.36,1.587927,7.28,,10.209408,7.28,7.69,7.8,1.85,7.6,7.7899,9.264,-0.58997,-0.473,0.011,0.02499,-0.637,,0.47224,0.56,,0.016,7.36,,-24.551,0.05,,,,,,,
SHOP,870.76,883.99,773.9231,908.37,870.76,1005.89,883.99,1.365663,866.8459,,52.04338,866.8459,902.5,1146.91,282.08,,908.37,50.96,-0.032420002,38.544,0.013200001,0.73446,-0.582,23.455273,0.00403,0.94,,0.026600001,883.99,388.0086,-2619.125,2.33,3.28,,,,,,
PLMR,103.25,104.76,76.485535,104.92,103.25,104.62571,104.76,,99.37,58.515713,17.506279,99.37,100.46,121.87,34.221,100.42,104.92,17.475,0.28798,14.734,0.044899996,0.81536,1.718,6.822994,0.0705,4.25,0.793,0.056199998,104.76,39.42353,46.86,2.55,,,,,,,
BTAI,48.29,48.8,40.855213,49.29,48.29,43.508858,48.8,1.64418,47.64,,,47.64,48.8,71.5,3.76,46.26,49.29,,,2.623,0.0964,0.28522,-2.936,18.452156,0.48511,2.89,,0.1703,48.8,-14.028986,-17.478,-3.45,0.19,,,,,,
OTRK,58.44,59.01,43.84379,66.41,58.44,61.380287,59.01,2.586399,58.865,,22.743454,58.865,,83.34,9.51,65.06,66.41,25.928,-0.61904997,,0.1322,0.19644,,,0.59293,2.07,,0.2836,59.01,,-65.282,,-1.41,,,,,,
ACMR,70.35,72.46,61.206,73.49,70.35,90.468575,72.46,0.769573,70.58,102.591545,10.842081,70.58,,113.87,12.51,,73.49,9.92,0.11817,4.98,0.0614,0.19108999,0.71,14.626505,0.36019,3.29,,0.0892,72.46,44.41463,59.414,1.64,3.66,,,,,,
GFI,13.72,13.72,9.164214,13.855,13.72,12.945143,13.72,0.630337,13.09,45.609756,3.3660202,13.09,13.26,14.9,3.79,13.15,13.855,3.812,0.07377,3.209,0.0112,0.5237,0.287,4.079152,,0.64,1.206,,13.72,54.541668,8.104,0.24,,0.011953353,0.164,0.3466,0.19,1.31,0.0139999995
PRTS,11.55,11.7,7.6397142,13.01,11.55,12.959429,11.7,2.688405,11.64,,1.7686943,11.64,12.65,16.44,1.04,12.64,13.01,1.209,-0.07646,0.48,0.0423,0.40763,-0.713,26.395834,0.27882,1.28,,0.0631,11.7,211.16667,80.892,0.06,-38.5,,,,,,
GRVY,128.5,129.18,55.544716,,128.5,91.496574,129.18,-0.537346,124.0001,49.14452,,124.0001,132.62,,21.49,,,,0.10167,7.831,0.0011999999,0.08332,2.747,17.239178,,0.58,0.206,,129.18,,,,,,,,,,
ZM,413.125,419.8,218.52803,,413.125,319.939,419.8,,407.5,560.3193,92.670746,407.5,439.25,,60.968,437.76,,79.853,0.17127001,4.216,0.028900001,0.49235,0.783,104.063095,0.16195999,1.29,32.566,0.0424,419.8,153.40211,427.953,2.86,4.31,,,,,,
ELA,4.5,4.68,,4.73,4.5,,4.68,-0.074136,4.0881,,1.2867092,4.0881,4.27,4.73,4.0881,4.01,4.73,1.036,0.03912,,0.0083,0.011089999,,,0.71550006,3.77,-0.04,0.0292,4.68,,19.231,,,,,,,,
BVXV,40.9,41.17,23.559586,42.56,40.9,37.827427,41.17,2.23913,,,,,48.5,,5.2,42.27,42.56,,,0.61,0.0015,0.046079997,-2.296,69.62295,0.41282,0.28,,,41.17,-707.8334,,-0.06,,,,,,,
PLUG,12.84,12.82,6.9769998,13.64,12.84,11.970285,12.82,1.318283,12.7,,20.951641,12.7,13.58,14.35,2.32,13.57,13.64,17.714,-0.3175,0.721,0.13520001,0.42134,-0.295,18.807213,0.010089999,1.71,,0.1363,12.82,-56.500004,-74.233,-0.24,-1.77,,,,,,
VSLR,32.74,33.4,13.927714,34.71,32.74,27.818571,33.4,1.85117,32.8,,11.023468,32.8,33.31,35.06,3.17,33.25,34.71,14.869,-0.23481001,1.088,0.0732,0.98111,-0.721,30.55147,0.04519,3.85,,0.2622,33.4,277.00003,-58.398,0.12,31.48,,,,,,
XBIT,20.19,20.27,14.6655,21.19,20.19,18.057142,20.27,1.594202,19.895,1.3881781,21.76839,19.895,21.1,26.4,8.18,20.57,21.19,11.384,23.90032,11.889,0.0705,0.17448,15.243,1.7797965,0.67336,8.9,,0.1433,20.27,162.76924,-12.414,0.13,,,,,,,
SAVA,7.09,8.75,4.168143,10.45,7.09,3.830857,8.75,2.871794,8.4,,,8.4,9.99,10.95,1.05,9.94,10.45,,,0.97,0.12109999,0.21159,-0.213,10.381443,0.104720004,1.94,,0.13069999,8.75,-30.51515,-11.418,-0.33,-0.34,,,,,,
TSLA,423.43,415.6,227.76149,,423.43,377.4976,415.6,1.638238,428.89,1145.4663,16.026115,428.89,449.6,502.49,43.672,449.5,,13.834,0.0143099995,10.597,0.0588,0.57927,0.386,41.72407,0.2051,0.75,,0.0736,415.6,141.71475,103.236,3.12,0.72,,,,,,
OESX,7.77,7.89,4.4688573,8.49,7.77,5.9191427,7.89,2.329988,7.75,41.527096,2.1644945,7.75,8.3,8.49,2.43,8.29,8.49,1.727,0.052610002,0.949,0.0674,0.45373002,0.203,8.883035,0.17083,5.04,,0.0858,7.89,20.07143,23.629,0.42,2.22,,,,,,
RVP,6.36,6.4,5.537071,7.46,6.36,7.6565714,6.4,1.743589,6.09,40.765026,5.238775,6.09,7.25,13.65,0.96,7.05,7.46,3.993,0.14825,0.977,0.06,0.104890004,0.183,7.635619,0.72786003,2.83,8.614,0.1438,6.4,,36.811,,,,,,,,
HEBT,13.49,13.43,12.387072,13.63,13.49,13.388572,13.43,1.222168,13.24,81.13095,16.403254,13.24,13.63,23.99,3.78,12.98,13.63,10.976,0.12984,3.046,0.051799998,0.01949,0.168,4.474721,0.65152,7.79,,0.0936,13.43,,73.344,,,,,,,,
GSX,105.45,,58.9915,106.87,105.45,92.71514,,,103.01,,,103.01,106.45,141.78,13.3,104.5,106.87,,0.07725,,0.1018,0.39519,,,,5.01,0.138,,,36.731033,,2.9,145.37,,,,,,
RLMD,38.99,39.5,39.839787,40.18,38.99,37.330284,39.5,0.345039,38.27,,,38.27,,,9.6,,40.18,,,8.342,0.1154,0.48043,-2.217,4.816591,0.04309,25.38,,0.1176,39.5,-8.603854,-14.438,-4.67,,,,,,,
AGRX,3.69,3.75,2.60175,3.8401,3.69,3.0175714,3.75,1.492753,3.7,,,3.7,3.85,4.765,0.35,3.8,3.8401,,,0.926,0.0533,0.3886,-0.416,4.1036716,0.0069,3.48,,0.0657,3.75,-8.260869,-8.741,-0.46,,,,,,,
BTBT,4.24,4.34,3.2550454,4.51,4.24,4.4523225,4.34,3.785739,4.29,,42.531696,4.29,4.69,5.5,0.4,4.15,4.51,43.823,-2.07129,,0.0046,0.030280001,,,0.74776,1.27,,0.0053,4.34,,-21.046,,,,,,,,
ENPH,66.87,67.72,53.39843,69.86,66.87,71.27257,67.72,1.040691,65.42,54.92357,11.928496,65.42,68.17,80.47,17.18,67.81,69.86,11.045,0.23491,2.938,0.0926,0.57295,1.243,23.236895,0.19753,3.43,,0.1097,67.72,40.880238,53.986,1.67,1.56,,,,,,
WKHS,28.03,28.72,9.1680355,30.88,28.03,19.058144,28.72,2.818283,28.18,,17569.006,28.18,31.05,30.88,1.315,31.08,30.88,14095.564,,-0.789,0.19870001,0.22794001,-1.968,,0.20582001,1.2,,0.206,28.72,-105.51724,-145.52,-0.29,,,,,,,
APPS,32.35,32.6,11.907785,33.99,32.35,24.446,32.6,2.215161,31.05,116.6904,17.178925,31.05,32.65,33.99,3.48,32.4,33.99,12.724,0.15349,1.019,0.0341,0.58217996,0.281,32.178604,0.03965,0.55,,0.0355,32.6,56.534485,94.885,0.58,1.41,,,,,,
VRS,10.84,10.84,12.878715,10.84,10.84,13.070286,10.84,1.849256,9.91,1.879616,0.1764972,9.91,10.18,19.49,9.91,9.97,10.84,0.129,0.09887,29.908,0.021300001,0.91432,5.416,0.34037715,0.1022,2.82,,0.0214,10.84,20.36,1.87,0.5,,0.009225092,0.1,0.0182,0.4,,0.0369
MDGL,118.2,119.9,98.5325,123.74,118.2,106.795425,119.9,1.522292,117.63,,,117.63,125.8,127.25,56.82,113.79,123.74,,,22.212,0.18020001,0.97899,-8.707,5.5321445,0.107980005,33.21,,0.3518,119.9,-8.399179,-8.429,-14.63,,,,,,,
CERC,2.84,2.86,2.5755,2.96,2.84,2.6278572,2.86,1.671372,2.71,,32.061207,2.71,2.78,6.19,1.52,2.5,2.96,24.105,,0.623,0.0171,0.77074,-0.73,4.462279,0.13822,2.27,,0.028900001,2.86,-6.318182,-6.807,-0.44,,,,,,,
VKTX,6.6,6.46,6.496286,6.84,6.6,7.0511427,6.46,1.991638,6.46,,,6.46,6.84,8.87,3.26,6.79,6.84,,,3.6,0.119799994,0.56675,-0.449,1.9000001,0.10979,7.36,,0.1549,6.46,-8.341464,,-0.82,-0.28,,,,,,
NEPT,2.49,2.5,2.4015,2.55,2.49,2.6802857,2.5,2.450581,2.435,,,2.435,2.52,3.96,0.96,2.45,2.55,,-1.41345,,0.0774,0.19169001,,,0.17502001,12.01,,0.0864,2.5,-83.333336,,-0.03,,,,,,,
MED,173.94,175.52,117.03257,176.25,173.94,168.29,175.52,1.227424,171.16,27.160513,2.6906414,171.16,172.83,184.29,49.03,173.56,176.25,2.568,0.10037,9.972,0.08180001,1.15356,6.392,17.409748,0.04652,3.45,0.026,0.1183,175.52,16.921053,20.167,10.26,0.99,0.02380131,4.14,0.6469,4.52,,0.0256
SHSP,10.55,10.65,8.514,10.76,10.55,9.924286,10.65,1.539576,10.09,,4.616028,10.09,10.45,13.95,4.5,3.03,10.76,4.352,-0.27558002,2.392,0.0257,0.70902,-0.638,4.37291,0.13249,2.11,,0.0311,10.65,-209.2,-16.254,-0.05,-2.48,0.011374407,0.12,,,,
HEAR,17.58,17.77,12.6591425,18.13,17.58,18.446,17.77,1.924749,17.56,12.76792,0.9976686,17.56,18.17,20.95,4.05,17.26,18.13,0.874,0.08326,4.759,0.1558,0.43465,1.409,3.780206,0.10864,2.87,,0.1598,17.77,17.637255,10.17,1.02,1.19,,,,,,
SRPT,144.03,145.22,137.43672,145.4695,144.03,146.94171,145.22,1.83612,141.72,,25.203491,141.72,145.95,,72.05,144.03,145.4695,19.945,-1.17803,13.296,0.1205,0.95521003,-6.998,10.870187,0.04816,13.45,,0.1425,145.22,-33.611626,-15.808,-4.3,120.45,,,,,,
BOOT,29.44,29.63,20.946857,29.74,29.44,26.316856,29.63,2.946488,28.58,22.239382,1.0290697,28.58,28.94,48.11,8.03,28.32,29.74,1.454,0.046729997,11.179,0.2357,1.11461,1.295,2.576259,0.00317,6.58,,0.2786,29.63,17.560976,14.369,1.64,2.48,,,,,,
