,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,shortPercentOfFloat,regularMarketPrice,forwardPE,enterpriseToEbitda,forwardEps,pegRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,payoutRatio,dividendRate,fiveYearAvgDividendYield,dividendYield
RYB,,3.0027,3.025693,3.0028,,3.0126858,3.0027,1.262725,2.92,,0.64670277,2.92,3.1,6.58,2.22,2.92,3.0028,1.097,-0.34113997,2.124,0.0031,0.13396,-1.543,1.3747646,,2.81,,,3.0027,58.4,-6.684,0.05,,,,,,,
EDN,3.09,3.15,3.677,3.21,3.09,3.69,3.15,1.732004,3.1,1.8068182,,3.1,3.23,7.85,2.54,3.03,3.21,,-0.06519,1.98,0.0011,0.08307999,1.76,1.6060606,0.00117,0.78,,,3.15,0.5256198,,6.05,,,,,,,
CNDT,3.52,3.58,2.5587857,3.69,3.52,3.448,3.58,1.953816,3.45,,0.17615584,3.45,3.6,7.97,1.54,3.6,3.69,0.565,-0.16346,5.616,0.0186,0.88924,-3.37,0.639245,0.06221,0.45,,0.0227,3.58,7.18,5.183,0.5,-0.28,,,,,,
EEX,2.57,2.6,2.7337856,2.65,2.57,2.709143,2.6,1.462533,2.51,,0.8148491,2.51,2.62,12.66,1.5,2.52,2.65,2.202,-2.85255,4.609,0.0101,1.0214801,-9.074,0.561944,0.00966,5.41,-0.132,0.0433,2.6,6.6410255,24.288,0.39,0.79,0.087548636,0.225,,0.3,,0.090900004
ACRS,2.54,2.56,1.6358643,2.79,2.54,2.306857,2.56,1.344431,2.3902,,19.597961,2.3902,2.52,3.34,0.7,2.02,2.79,6.979,,1.156,0.015700001,0.84812,-2.428,2.1885812,0.10009,1.26,,0.0165,2.56,-2.2192984,-0.58,-1.14,-0.01,,,,,,
QTT,2.42,2.45,2.9384286,2.495,2.42,2.7665715,2.45,,2.415,,,2.415,2.5,6.55,2.2,2.42,2.495,,-0.4319,2.434,0.045300003,0.056399997,-2.52,1.0147904,,9.32,,,2.45,,,0.13,,,,,,,
LAIX,,,3.018643,2.01,,2.4385715,,,1.96,,,1.96,1.99,7.99,1.92,1.95,2.01,,-0.71545,-5.691,0.0004,0.36103,-3.617,,0.00605,0.91,,,,-1.4558823,,-1.36,,,,,,,
GTX,2.41,2.35,4.9612856,2.4,2.41,4.83,2.35,,1.7,0.70279723,0.053663313,1.7,2.04,12.2,1.7,1.95,2.4,0.592,0.0766,-27.806,0.0276,0.79813004,2.86,,0.0092400005,1.21,,0.0312,2.35,0.70034844,4.276,2.87,0.17,,,,,,
GLOP,3.98,3.94,3.925,4.12,3.98,3.9205713,3.94,3.350055,3.88,,0.549085,3.88,4.08,20.58,1.508,4.15,4.12,4.83,-0.1479,11.781,0.0311,0.39181998,-1.769,0.34207624,0.2672,6.49,-0.571,0.045700002,3.94,5.101266,6.754,0.79,-0.84,0.34195977,1.361,,0.5,14.69,0.12560001
GLOG,3.07,3.09,3.4413571,3.28,3.07,3.1357143,3.09,1.382385,3.065,,0.4611337,3.065,3.26,14.86,2.55,3.25,3.28,7.094,-0.20306,6.6,0.0575,0.38766,-1.814,0.4939394,0.12641,10.22,,0.0896,3.09,7.0869565,10.45,0.46,0.4,0.16286646,0.5,,0.2,5.37,0.0643
SBOW,4.87,4.89,3.7960715,4.92,4.87,4.3205714,4.89,2.648574,4.6,,0.24944109,4.6,4.71,12.95,1.5,4.67,4.92,2.341,-1.26285,7.236,0.0672,0.87544,-23.507,0.6357103,0.04111,4.48,,0.14829999,4.89,1.2365592,2.337,3.72,0.57,,,,,,
MOGU,2.33,2.32,1.8690785,2.35,2.33,2.4408572,2.32,,2.28,,,2.28,2.34,6.85,0.88,2.29,2.35,,,-29.983,0.0008,0.28361,-6.674,,0.0683,0.05,,,2.32,25.999998,,0.09,,,,,,,
UBX,3.66,3.69,6.8634286,4.1,3.66,5.6668572,3.69,-0.083469,3.65,,,3.65,3.97,15.44,2.72,3.84,4.1,,,2.17,0.0686,0.7098,-1.848,1.7695851,0.19400999,1.1,,0.1005,3.69,-2.4458597,-0.812,-1.57,,,,,,,
YRD,2.88,2.85,3.784857,2.898,2.88,3.3462858,2.85,1.3434,2.8,1.05382,,2.8,2.82,8.62,2.7,2.8,2.898,,0.06761,11.795,0.0064999997,0.052399997,2.657,0.23738872,,6.77,,,2.85,2.8571427,,0.98,-25.7,0.10173611,0.293,,,,
JFIN,,2.83,3.0374072,2.99,,3.1862857,2.83,,2.8194,,,2.8194,2.96,,1.6,2.86,2.99,,0.13067001,,0.0058999998,0.0063,,,,0.71,-0.722,,2.83,3.5061727,,0.81,,,,,,,
RLH,2.26,2.2,2.0324285,2.29,2.26,2.3394287,2.2,1.248049,2.2,,0.669589,2.2,2.3,6.77,1.16,2.17,2.29,0.451,-0.27419,5.173,0.0615,0.78386,-0.949,0.44268316,0.08178,,,0.0754,2.2,-3.6349206,-7.125,-0.63,-0.08,,,,,,
PLL,,8.79,6.3864784,11.6993,,6.719714,8.79,1.217469,8.55,,10137.617,8.55,,11.7,,,11.6993,4770.134,,1.6,0.0004,0.00095,-0.9,6.875,,0.17,,,8.79,-18.032787,-6.427,-0.61,,,,,,,
TCS,6.19,6.4,3.1585715,6.6,6.19,4.0214286,6.4,2.094202,6.04,155.1282,0.35507095,6.04,6.08,6.69,1.8,6.3,6.6,0.942,0.00223,5.424,0.053200003,0.88848,0.039,1.1154131,0.09087,12.83,,0.1299,6.4,19.51613,14.128,0.31,5.78,,,,,,
