ticker,52W High,52W Low,52WeekChange,Avg Volume,Change,EPS Q/Q,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Gross Margin,Income,Insider Own,Insider Trans,Inst Own,Inst Trans,Market Cap,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,ROA,ROE,ROI,SMA20,SMA200,SMA50,Sales,Sales Q/Q,Sales past 5Y,SandP52WeekChange,Short Float,Shs Float,Shs Outstand,ask,beta,bid,bookValue,dayHigh,dayLow,enterpriseToEbitda,enterpriseToRevenue,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,forwardEps,forwardPE,heldPercentInsiders,heldPercentInstitutions,open,pegRatio,previousClose,priceToBook,priceToSalesTrailing12Months,profitMargins,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketPrice,sharesPercentSharesOut,shortPercentOfFloat,shortRatio,trailingEps,twoHundredDayAverage,ATR,Beta,Book/sh,Cash/sh,Current Ratio,Debt/Eq,Dividend,Dividend %,EPS (ttm),EPS next Q,Earnings,Employees,Forward P/E,Index,LT Debt/Eq,Oper. Margin,P/B,P/C,P/E,P/FCF,P/S,PEG,Payout,Prev Close,Price,Profit Margin,Quick Ratio,RSI (14),Recom,Rel Volume,Short Ratio,Target Price,Volume
CODX,-0.6225,12.8249,6.847619,3430000000.0,0.4199,6.487,,0.42460000000000003,-0.226,0.264,0.654,8100000000.0,0.2421,-0.0129,0.29100000000000004,0.9843999999999999,370890000000.0,0.6981,-0.5453,-0.2755,0.07339999999999999,12.069700000000001,10.0377,0.514,0.562,-3.467,-0.19210000000000002,0.0583,-0.3655,25700000000.0,454.449,,0.15022206,0.2651,25080000000.0,27580000000.0,11.65,-1.670797,11.52,1.192,11.89,8.2,26.39,8.27,18.487286,30.99,0.846,2.61,4.4827585,0.24211,0.09172,8.9,,8.24,9.815435,13.424307,0.31422,11.89,8.2,8.9,8.24,8.9,0.2368,0.2368,1.59,0.351,15.292898,1.24,,1.21,0.71,11.6,0.0,,,0.18,0.63,,37.0,5.53,,0.0,0.305,11.92,20.23,79.67,,14.64,,0.0,14.41,14.42,0.314,8.2,49.55,2.0,0.18,2.12,,
GTT,-0.61,0.5609000000000001,-0.45154637,,0.156,-1.976,0.25,0.436,-0.172,0.608,0.449,-161900000000.0,0.079,0.0,0.8370000000000001,0.1199,364510000000.0,-0.46659999999999996,0.1121,-0.3059,0.2349,-0.4581,-0.3301,-0.034,-0.58,0.034,0.2457,-0.3446,-0.014499999999999999,1700000000.0,-0.057,0.528,0.15022206,0.2403,42610000000.0,57260000000.0,6.16,1.387402,5.56,3.367,6.96,4.96,10.437,2.303,5.6014285,15.77,3.94,-1.55,-3.9677422,0.19500999,0.95703006,5.45,-0.08,5.32,1.8265518,0.21250069,-0.09511,6.96,4.96,5.45,5.32,5.45,0.1741,0.21270001,24.18,-2.859,8.457826,0.5,1.58,3.44,1.87,0.6,16.77,,,-2.85,-0.49,,3100.0,,,16.59,0.054000000000000006,1.45,2.66,,1.99,0.17,,,5.18,4.99,-0.095,0.6,44.82,3.0,0.65,23.13,,
LUB,-0.1623,3.8261000000000003,-0.31372553,,1.1143,-3.635,0.07,,-0.556,0.48700000000000004,0.639,-46200000000.0,0.049,0.0,0.355,0.0104,66599999999.99999,0.21309999999999998,0.8814,0.3059,0.9304000000000001,0.0091,0.4416,-0.235,-0.526,-0.065,0.9890000000000001,0.47759999999999997,0.8805,254100000000.0,-0.746,-0.039,0.15022206,0.004,19650000000.0,30400000000.0,2.06,1.654403,2.07,2.152,2.33,1.65,-9.282,0.429,1.1345714,2.65,0.46,0.08,27.750002,0.35075,0.37548,1.91,,1.05,1.0315986,0.2676011,-0.18179001,2.33,1.65,1.91,1.05,1.91,0.0025,0.0033000002,3.53,-1.532,1.1619565,0.24,1.08,2.16,0.51,0.7,0.97,,,-1.53,,,6133.0,,,0.87,-0.158,1.26,5.31,,,0.29,,,2.75,2.72,-0.182,0.7,60.59,,0.03,0.91,5.0,
MICT,-0.2982,14.6053,6.882961,1070000000.0000001,0.2948,1.114,,0.871,-0.015,0.518,,-3600000000.0,0.233,-0.2241,0.141,-0.0138,75370000000.0,5.0154000000000005,0.6472,4.156499999999999,0.2725,5.6607,8.5599,-0.375,-1.0,-0.703,0.3873,2.7619,0.8227,0.0,,-0.575,0.15022206,0.0464,3860000000.0,11100000000.0,5.93,1.028428,5.81,-0.361,6.37,,-23.397,,3.7762856,8.45,0.38,-0.04,-148.25,0.25765,0.24023001,5.3,,4.58,,,,6.37,,5.3,4.58,5.3,0.015,0.024,1.02,-0.327,1.8349057,0.67,1.35,0.39,0.74,1.1,2.16,,,-0.34,-0.1,,53.0,,,0.0,,9.0,4.74,,,,,,3.47,3.51,,0.9,43.18,2.0,0.22,0.35,6.0,
NETE,-0.6145,4.2581999999999995,0.18949354,1730000000.0,0.2208,0.7879999999999999,,0.494,0.433,-0.252,0.153,-5500000000.0,0.021,0.0,0.059000000000000004,-0.0106,36760000000.0,2.3077,-0.2932,2.0543,0.15869999999999998,1.4112,0.41240000000000004,-0.249,-1.272,-0.512,-0.0571,0.5181,-0.3064,63000000000.0,-0.17,0.251,0.15022206,0.0132,3880000000.0,4179999999.9999995,7.6,1.375696,7.66,0.678,7.78,6.1,-247.073,0.607,11.138857,20.08,1.47,-0.06,,0.1633,0.06616,6.57,,6.34,11.415929,0.5645479,-0.087139994,7.78,6.1,6.57,6.34,6.57,0.0112,0.0126,0.08,-1.32,5.824348,1.13,1.5,0.68,0.2,0.8,3.54,,,-1.34,-0.09,,82.0,,,3.21,-0.07400000000000001,10.78,35.92,,,0.51,,,7.23,7.33,-0.087,0.8,49.49,,0.28,0.05,,
NEXT,-0.6563,1.0897,-0.7905512,,0.7519,-0.177,0.006,0.14800000000000002,,-0.09,,-35700000000.0,0.002,0.0,0.845,0.0129,274870000000.0,0.10949999999999999,0.6069,-0.0292,0.7519,-0.6204999999999999,-0.6302,-0.17600000000000002,-0.486,,0.6847,-0.2407,0.43200000000000005,,,,0.15022206,0.0038,108880000000.0,117390000000.0,2.2,0.555968,2.2,0.651,2.6,1.33,-12.434,,1.4952857,6.78,1.115,-0.23,-10.130434,0.09645,0.83495003,1.33,-8.02,1.33,3.5791087,,,2.6,1.33,1.33,1.33,1.33,0.0034,0.010199999,2.56,-0.317,1.8813406,0.47,-0.12,0.65,0.29,,0.0,,,-0.31,-0.06,,74.0,,,0.0,,4.45,9.92,,,,,,2.92,2.89,,,52.11,3.1,0.19,1.04,3.21,
SPRO,-0.09759999999999999,1.4894999999999998,-0.23744678,,0.4587,-0.14,0.369,0.062,,-0.289,,-83500000000.0,0.003,-0.044800000000000006,0.5589999999999999,0.0233,282830000000.0,0.4852,0.0069,0.032400000000000005,0.2024,0.3593,0.1775,-0.784,-1.032,-0.847,0.1246,0.2181,0.0509,11700000000.0,-0.22699999999999998,,0.15022206,0.059000000000000004,18130000000.0,20630000000.0,13.2,1.69128,13.01,3.508,14.3,8.9,-1.466,10.574,12.035,14.483,5.25,-3.46,-3.7774565,0.2009,0.54067004,9.26,-0.07,8.96,3.7257698,23.627312,,14.3,8.9,9.26,8.96,9.26,0.0506,0.0631,8.73,-4.311,10.963877,0.94,,3.57,2.86,4.5,0.0,,,-4.3,-0.87,,57.0,,,0.0,,3.73,4.65,,,28.36,,,13.35,13.31,,4.5,66.3,1.6,0.72,5.76,,
TCON,-0.316,2.9368,-0.37875748,1190000000.0,0.2065,0.67,,0.317,-0.049,0.424,,-17600000000.0,0.015,,0.146,0.22579999999999997,40060000000.0,1.1011,1.0,0.7642,0.9788,0.5982999999999999,-0.2667,-0.996,-5.625,,0.9601999999999999,0.5783,0.9864,,,,0.15022206,0.0043,6520000000.0,13180000000.0,3.8,1.947045,3.69,0.386,3.85,2.9,-0.96,,1.8617142,5.47,0.95,-1.94,-1.927835,0.02803,0.25344,2.9,,3.1,9.689119,,,3.85,2.9,2.9,3.1,2.9,0.0033000002,0.0033000002,0.05,-3.976,1.9533478,0.62,1.11,0.47,,1.6,1.5,,,-4.46,-0.65,,19.0,,,0.93,,10.48,,,,,,,5.03,4.93,,1.6,56.5,2.2,0.15,0.33,5.33,
WORX,-0.875,0.3676,-0.571831,6860000000.0,0.2237,-0.08900000000000001,,,,0.612,0.171,-8000000000.0,0.175,0.0,0.02,2.4624,17129999999.999998,-0.34740000000000004,-0.6768000000000001,-0.2619,0.056799999999999996,-0.3519,-0.6793,-0.764,-1.161,-1.6480000000000001,-0.0296,-0.3489,-0.33770000000000006,5500000000.0,0.0,,0.15022206,0.013000000000000001,7750000000.0,9070000000.0,1.79,,1.75,0.651,2.39,1.53,-2.067,2.707,3.5617144,14.88,1.36,,,0.30788,0.01283,1.6,,1.52,2.8571427,3.2074993,-1.45381,2.39,1.53,1.6,1.52,1.6,0.0106,0.012,0.21,-1.045,4.3927174,0.17,3.53,0.68,0.03,0.5,0.0,,,-1.0,,,4.0,,,0.05,,2.34,50.77,,,2.77,,,1.44,1.59,,0.4,52.76,,0.83,0.08,,
AQB,-0.19329999999999997,1.4199000000000002,-0.019672096,,0.2274,0.419,,0.314,0.154,0.17300000000000001,,-13100000000.0,0.01,,0.43200000000000005,0.0177,159310000000.0,0.8079000000000001,0.4622,0.4008,0.2877,0.6912,0.2832,-0.365,-0.445,-0.46399999999999997,0.31,0.5225,0.1341,60000000.0,-0.9309999999999999,,0.15022206,0.019799999999999998,20870000000.0,32100000000.0,3.66,1.013307,3.65,0.99,3.7,3.005,-7.851,1622.646,3.1205714,4.549,1.517,-0.24,-15.291667,0.14945,0.58662,3.005,,2.99,3.7070708,2930.7114,,3.7,3.005,3.005,2.99,3.005,0.0095999995,0.0147,0.89,-0.51,2.543145,0.42,0.67,0.99,,6.7,0.14,,,-0.52,-0.08,,64.0,,,0.14,,4.68,,,,3566.43,,,5.0,4.63,,5.5,57.84,1.7,1.33,0.52,4.5,
ARTL,-0.7968999999999999,0.4728,-0.6851064,,0.2141,-0.638,,0.006,,-3.361,,-4500000000.0,0.071,0.0,0.003,,4250000000.0,-0.1765,-0.2812,-0.349,-0.0642,-0.6673,-0.5971,-0.909,-1.031,,-0.1085,-0.4036,-0.2025,,,,0.15022206,0.020499999999999997,3350000000.0,3470000000.0,0.94,1.046382,0.9,0.864,0.97,0.68,-16.112,,1.0821714,4.423,0.61,-1.64,-0.55640244,0.14553,0.00235,0.7177,,0.74,1.0561342,,,0.97,0.68,0.7177,0.74,0.7177,0.0152,0.0178,0.13,-1.35,1.1546956,0.19,,0.93,0.28,5.4,0.0,,,-1.35,-0.36,,3.0,,,0.0,,0.93,3.08,,,,,,0.91,0.86,,5.4,45.88,3.0,2.29,0.17,,
CODX,-0.6225,12.8249,6.847619,3430000000.0,0.4199,6.487,,0.42460000000000003,-0.226,0.264,0.654,8100000000.0,0.2421,-0.0129,0.29100000000000004,0.9843999999999999,370890000000.0,0.6981,-0.5453,-0.2755,0.07339999999999999,12.069700000000001,10.0377,0.514,0.562,-3.467,-0.19210000000000002,0.0583,-0.3655,25700000000.0,454.449,,0.15022206,0.2651,25080000000.0,27580000000.0,11.65,-1.670797,11.52,1.192,11.89,8.2,26.39,8.27,18.487286,30.99,0.846,2.61,4.4827585,0.24211,0.09172,8.9,,8.24,9.815435,13.424307,0.31422,11.89,8.2,8.9,8.24,8.9,0.2368,0.2368,1.59,0.351,15.292898,1.24,,1.21,0.71,11.6,0.0,,,0.18,0.63,,37.0,5.53,,0.0,0.305,11.92,20.23,79.67,,14.64,,0.0,14.41,14.42,0.314,8.2,49.55,2.0,0.18,2.12,,
GTT,-0.61,0.5609000000000001,-0.45154637,,0.156,-1.976,0.25,0.436,-0.172,0.608,0.449,-161900000000.0,0.079,0.0,0.8370000000000001,0.1199,364510000000.0,-0.46659999999999996,0.1121,-0.3059,0.2349,-0.4581,-0.3301,-0.034,-0.58,0.034,0.2457,-0.3446,-0.014499999999999999,1700000000.0,-0.057,0.528,0.15022206,0.2403,42610000000.0,57260000000.0,6.16,1.387402,5.56,3.367,6.96,4.96,10.437,2.303,5.6014285,15.77,3.94,-1.55,-3.9677422,0.19500999,0.95703006,5.45,-0.08,5.32,1.8265518,0.21250069,-0.09511,6.96,4.96,5.45,5.32,5.45,0.1741,0.21270001,24.18,-2.859,8.457826,0.5,1.58,3.44,1.87,0.6,16.77,,,-2.85,-0.49,,3100.0,,,16.59,0.054000000000000006,1.45,2.66,,1.99,0.17,,,5.18,4.99,-0.095,0.6,44.82,3.0,0.65,23.13,,
LUB,-0.1623,3.8261000000000003,-0.31372553,,1.1143,-3.635,0.07,,-0.556,0.48700000000000004,0.639,-46200000000.0,0.049,0.0,0.355,0.0104,66599999999.99999,0.21309999999999998,0.8814,0.3059,0.9304000000000001,0.0091,0.4416,-0.235,-0.526,-0.065,0.9890000000000001,0.47759999999999997,0.8805,254100000000.0,-0.746,-0.039,0.15022206,0.004,19650000000.0,30400000000.0,2.06,1.654403,2.07,2.152,2.33,1.65,-9.282,0.429,1.1345714,2.65,0.46,0.08,27.750002,0.35075,0.37548,1.91,,1.05,1.0315986,0.2676011,-0.18179001,2.33,1.65,1.91,1.05,1.91,0.0025,0.0033000002,3.53,-1.532,1.1619565,0.24,1.08,2.16,0.51,0.7,0.97,,,-1.53,,,6133.0,,,0.87,-0.158,1.26,5.31,,,0.29,,,2.75,2.72,-0.182,0.7,60.59,,0.03,0.91,5.0,
MICT,-0.2982,14.6053,6.882961,1070000000.0000001,0.2948,1.114,,0.871,-0.015,0.518,,-3600000000.0,0.233,-0.2241,0.141,-0.0138,75370000000.0,5.0154000000000005,0.6472,4.156499999999999,0.2725,5.6607,8.5599,-0.375,-1.0,-0.703,0.3873,2.7619,0.8227,0.0,,-0.575,0.15022206,0.0464,3860000000.0,11100000000.0,5.93,1.028428,5.81,-0.361,6.37,,-23.397,,3.7762856,8.45,0.38,-0.04,-148.25,0.25765,0.24023001,5.3,,4.58,,,,6.37,,5.3,4.58,5.3,0.015,0.024,1.02,-0.327,1.8349057,0.67,1.35,0.39,0.74,1.1,2.16,,,-0.34,-0.1,,53.0,,,0.0,,9.0,4.74,,,,,,3.47,3.51,,0.9,43.18,2.0,0.22,0.35,6.0,
NETE,-0.6145,4.2581999999999995,0.18949354,1730000000.0,0.2208,0.7879999999999999,,0.494,0.433,-0.252,0.153,-5500000000.0,0.021,0.0,0.059000000000000004,-0.0106,36760000000.0,2.3077,-0.2932,2.0543,0.15869999999999998,1.4112,0.41240000000000004,-0.249,-1.272,-0.512,-0.0571,0.5181,-0.3064,63000000000.0,-0.17,0.251,0.15022206,0.0132,3880000000.0,4179999999.9999995,7.6,1.375696,7.66,0.678,7.78,6.1,-247.073,0.607,11.138857,20.08,1.47,-0.06,,0.1633,0.06616,6.57,,6.34,11.415929,0.5645479,-0.087139994,7.78,6.1,6.57,6.34,6.57,0.0112,0.0126,0.08,-1.32,5.824348,1.13,1.5,0.68,0.2,0.8,3.54,,,-1.34,-0.09,,82.0,,,3.21,-0.07400000000000001,10.78,35.92,,,0.51,,,7.23,7.33,-0.087,0.8,49.49,,0.28,0.05,,
NEXT,-0.6563,1.0897,-0.7905512,,0.7519,-0.177,0.006,0.14800000000000002,,-0.09,,-35700000000.0,0.002,0.0,0.845,0.0129,274870000000.0,0.10949999999999999,0.6069,-0.0292,0.7519,-0.6204999999999999,-0.6302,-0.17600000000000002,-0.486,,0.6847,-0.2407,0.43200000000000005,,,,0.15022206,0.0038,108880000000.0,117390000000.0,2.2,0.555968,2.2,0.651,2.6,1.33,-12.434,,1.4952857,6.78,1.115,-0.23,-10.130434,0.09645,0.83495003,1.33,-8.02,1.33,3.5791087,,,2.6,1.33,1.33,1.33,1.33,0.0034,0.010199999,2.56,-0.317,1.8813406,0.47,-0.12,0.65,0.29,,0.0,,,-0.31,-0.06,,74.0,,,0.0,,4.45,9.92,,,,,,2.92,2.89,,,52.11,3.1,0.19,1.04,3.21,
SPRO,-0.09759999999999999,1.4894999999999998,-0.23744678,,0.4587,-0.14,0.369,0.062,,-0.289,,-83500000000.0,0.003,-0.044800000000000006,0.5589999999999999,0.0233,282830000000.0,0.4852,0.0069,0.032400000000000005,0.2024,0.3593,0.1775,-0.784,-1.032,-0.847,0.1246,0.2181,0.0509,11700000000.0,-0.22699999999999998,,0.15022206,0.059000000000000004,18130000000.0,20630000000.0,13.2,1.69128,13.01,3.508,14.3,8.9,-1.466,10.574,12.035,14.483,5.25,-3.46,-3.7774565,0.2009,0.54067004,9.26,-0.07,8.96,3.7257698,23.627312,,14.3,8.9,9.26,8.96,9.26,0.0506,0.0631,8.73,-4.311,10.963877,0.94,,3.57,2.86,4.5,0.0,,,-4.3,-0.87,,57.0,,,0.0,,3.73,4.65,,,28.36,,,13.35,13.31,,4.5,66.3,1.6,0.72,5.76,,
TCON,-0.316,2.9368,-0.37875748,1190000000.0,0.2065,0.67,,0.317,-0.049,0.424,,-17600000000.0,0.015,,0.146,0.22579999999999997,40060000000.0,1.1011,1.0,0.7642,0.9788,0.5982999999999999,-0.2667,-0.996,-5.625,,0.9601999999999999,0.5783,0.9864,,,,0.15022206,0.0043,6520000000.0,13180000000.0,3.8,1.947045,3.69,0.386,3.85,2.9,-0.96,,1.8617142,5.47,0.95,-1.94,-1.927835,0.02803,0.25344,2.9,,3.1,9.689119,,,3.85,2.9,2.9,3.1,2.9,0.0033000002,0.0033000002,0.05,-3.976,1.9533478,0.62,1.11,0.47,,1.6,1.5,,,-4.46,-0.65,,19.0,,,0.93,,10.48,,,,,,,5.03,4.93,,1.6,56.5,2.2,0.15,0.33,5.33,
WORX,-0.875,0.3676,-0.571831,6860000000.0,0.2237,-0.08900000000000001,,,,0.612,0.171,-8000000000.0,0.175,0.0,0.02,2.4624,17129999999.999998,-0.34740000000000004,-0.6768000000000001,-0.2619,0.056799999999999996,-0.3519,-0.6793,-0.764,-1.161,-1.6480000000000001,-0.0296,-0.3489,-0.33770000000000006,5500000000.0,0.0,,0.15022206,0.013000000000000001,7750000000.0,9070000000.0,1.79,,1.75,0.651,2.39,1.53,-2.067,2.707,3.5617144,14.88,1.36,,,0.30788,0.01283,1.6,,1.52,2.8571427,3.2074993,-1.45381,2.39,1.53,1.6,1.52,1.6,0.0106,0.012,0.21,-1.045,4.3927174,0.17,3.53,0.68,0.03,0.5,0.0,,,-1.0,,,4.0,,,0.05,,2.34,50.77,,,2.77,,,1.44,1.59,,0.4,52.76,,0.83,0.08,,
