ticker,52W High,52W Low,52WeekChange,Avg Volume,Change,EPS Q/Q,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Gross Margin,Income,Insider Own,Insider Trans,Inst Own,Inst Trans,Market Cap,Oper. Margin,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Profit Margin,ROA,ROE,ROI,SMA20,SMA200,SMA50,Sales,Sales Q/Q,Sales past 5Y,SandP52WeekChange,Short Float,Shs Float,Shs Outstand,ask,beta,bid,bookValue,dayHigh,dayLow,enterpriseToEbitda,enterpriseToRevenue,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,forwardEps,forwardPE,heldPercentInsiders,heldPercentInstitutions,open,pegRatio,previousClose,priceToBook,priceToSalesTrailing12Months,profitMargins,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketPrice,sharesPercentSharesOut,shortPercentOfFloat,shortRatio,trailingEps,twoHundredDayAverage,ATR,Beta,Book/sh,Cash/sh,Current Ratio,Debt/Eq,Dividend,Dividend %,EPS (ttm),EPS next Q,Earnings,Employees,Forward P/E,Index,LT Debt/Eq,P/B,P/C,P/E,P/FCF,P/S,PEG,Payout,Prev Close,Price,Quick Ratio,RSI (14),Recom,Rel Volume,Short Ratio,Target Price,Volume
AVCO,-0.5,1.5,-0.15999997,,-0.1497,0.331,,,,-1.228,0.22,-15600000000.0,0.324,0.0,0.034,-0.0398,99280000000.0,,0.0504,-0.1197,-0.32799999999999996,0.087,-0.35229999999999995,-0.3132,,-1.48,-3.0989999999999998,-2.517,-0.0194,-0.21030000000000001,-0.1512,1500000000.0,-0.25,,0.15509713,0.0719,26570000000.0,78890000000.0,1.3,0.40593,1.24,0.06,1.4,1.2,-7.756,85.197,1.4021429,2.5,0.5,,,0.68584,0.03458,1.35,,1.47,20.833334,71.10717,,1.4,1.2,1.35,1.47,1.35,0.0239,0.0719,1.09,-0.204,1.5405653,0.11,0.51,0.06,0.01,0.7,0.0,,,-0.2,,,8.0,,,0.7,20.33,84.89,,,67.91,,,1.19,1.22,,45.44,,0.13,2.24,,
AWX,-0.3243,0.4867,-0.046083033,,-0.15460000000000002,-1.913,,,0.162,0.609,0.175,-1500000000.0,0.3457,0.0,0.12300000000000001,-0.10619999999999999,6830000000.0,-0.011000000000000001,0.4113,0.11460000000000001,0.087,0.20379999999999998,-0.0885,-0.21170000000000003,-0.025,-0.02,-0.042,0.0,0.1457,0.0756,0.0701,62800000000.0,-0.28800000000000003,0.057999999999999996,0.15509713,0.0004,2280000000.0,3880000000.0,1.75,1.139353,1.66,9.234,1.935,1.6,14.803,0.476,1.5745715,2.59,1.18,,,0.34567,0.1282,1.7,,2.07,0.18951699,0.10800398,-0.02459,1.935,1.6,1.7,2.07,1.7,0.0002,0.0004,0.03,-0.4,1.5262319,0.18,1.15,9.23,1.41,0.9,0.73,,,-0.4,,,388.0,,,0.66,0.19,1.27,,,0.11,,,1.8,1.79,0.8,58.52,,9.4,0.02,,
BCRX,-0.4536,1.4890999999999999,0.41697407,6250000000.0,-0.1043,0.299,0.19899999999999998,0.10800000000000001,-0.068,0.04,0.946,-116400000000.0,0.001,0.4806,0.769,0.0978,571480000000.0,,0.8127,-0.1723,-0.3004,-0.018600000000000002,-0.0043,0.2817,,-0.755,-6.0360000000000005,-0.841,-0.0904,-0.0604,-0.156,49200000000.0,1.071,0.29100000000000004,0.15509713,0.215,161130000000.0,161570000000.0,3.45,2.620401,3.43,0.434,3.8192,3.36,-5.031,11.652,3.9562857,6.29,1.38,-0.84,-4.089286,0.00955,0.90202004,3.79,-0.21,3.835,7.9147468,12.328824,-2.36655,3.8192,3.36,3.79,3.835,3.79,0.19620001,0.21090001,6.37,-0.835,3.9513044,0.23,2.96,0.47,1.02,2.0,1.05,,,-0.84,-0.26,,140.0,,,0.41,8.32,3.82,,,14.7,,,3.89,3.91,1.9,54.38,2.1,0.56,5.81,,
BORR,-0.9397,1.2671,-0.86358756,1540000000.0,-0.13390000000000002,,,0.466,,0.415,,,0.26899999999999996,0.0,0.5864,,86330000000.0,,0.1458,-0.3785,-0.5133,-0.2329,-0.9392,-0.8904000000000001,,,,,-0.2692,-0.7662,-0.37939999999999996,383700000000.0,-0.03,,0.15509713,0.0169,102590000000.0,156970000000.0,0.55,3.689285,0.55,12.188,0.5899,0.54,393.855,5.132,0.83985716,9.12,0.243,-0.49,-1.122449,0.26895002,0.5864,0.5676,,0.635,0.045126356,0.23404458,-0.87594,0.5899,0.54,0.5676,0.635,0.5676,0.012200001,0.0177,1.92,-3.264,0.8854493,0.06,,12.19,,,,,,-3.26,-0.32,,694.0,,,,0.04,,,,0.22,,,0.52,0.54,,28.96,3.0,2.55,1.11,,
CBAT,-0.46130000000000004,4.6111,2.933333,6810000000.0,-0.1441,0.698,0.3,,-0.17600000000000002,-2.782,0.055999999999999994,-9200000000.0,0.298,0.6492,0.003,-0.0926,72560000000.0,-0.344,4.05,2.044,1.5894,1.2955,0.7565000000000001,2.3115,-0.38,-0.094,-0.715,-0.20199999999999999,0.8458,1.784,1.2117,24300000000.0,0.07,0.098,0.15509713,0.0045000000000000005,22600000000.0,60430000000.0,2.03,3.076365,,0.237,2.43,,-50.525,7.693,0.9351429,3.75,0.36,,,0.43778,0.00806,2.27,,2.36,8.523207,5.4208097,-0.37978,2.43,,2.27,2.36,2.27,0.0016,0.0034999999,0.08,-0.18,0.70369565,0.62,2.08,0.25,0.0,0.4,2.19,,,-0.19,,,58.0,,,0.0,13.04,861.94,,,7.09,,,3.71,3.26,0.3,64.36,,0.83,0.01,2.0,
CEI,-0.9273,0.40409999999999996,-0.8933333,2630000000.0,-0.2,0.998,,,,-1.021,-0.375,-10000000000.0,0.0999,0.0,0.009000000000000001,,16989999999.999998,,-0.4128,0.1636,-0.4435,0.3655,-0.6648999999999999,-0.9187000000000001,,,,-1.9340000000000002,0.235,-0.5074000000000001,-0.0695,300000000.0,-0.722,-0.33299999999999996,0.15509713,0.051699999999999996,19680000000.0,23870000000.0,0.6389,1.622071,0.6315,0.471,0.69,0.63,-4.561,64.752,0.59114283,,0.46,,,0.0999,0.00385,0.663,,0.8,1.358811,49.36084,,0.69,0.63,0.663,0.8,0.663,0.042600002,0.042600002,0.53,-2.946,1.1263044,0.17,0.89,1.71,0.07,1.3,0.0,,,201.33,,,,,,0.0,0.55,14.38,0.0,,81.46,,,1.25,0.94,1.3,58.95,,9.17,0.19,,
CREG,-0.5770000000000001,0.955,0.125,,-0.1306,1.092,,,-0.17,0.9259999999999999,,-1200000000.0,0.2866,0.0,0.008,-0.6479,7230000000.0,,-0.0794,0.252,0.385,0.2372,0.11630000000000001,-0.0875,,,,-0.062,0.2155,0.11410000000000001,0.16260000000000002,-10000000.0,,-0.48700000000000004,0.15509713,0.0097,2080000000.0,2320000000.0,3.14,1.240245,3.13,31.709,3.62,3.06,,3562.599,2.6202857,7.4,1.6,,,0.28659,0.032420002,3.52,,3.6,0.09871015,-932.65704,,3.62,3.06,3.52,3.6,3.52,0.0076,0.0085,0.09,-0.595,2.586884,0.53,1.14,34.12,,2.6,0.28,,,-0.78,,,108.0,,,0.01,0.11,,,,,,,3.43,3.78,2.6,62.58,,0.46,0.02,,
CYCN,-0.5884,2.5976,-0.26310164,,-0.1176,0.40299999999999997,,0.349,,-0.068,,-93100000000.0,0.006999999999999999,0.0,0.5660000000000001,-0.0433,210190000000.0,,1.5228,-0.1085,0.0483,-0.1637,1.2353,-0.3992,,-0.561,-1.022,-1.28,-0.1543,0.3931,0.042300000000000004,4600000000.0,-0.563,,0.15509713,0.0331,25610000000.0,27790000000.0,6.05,,,2.373,6.97,6.02,-2.6,49.512,6.6295714,14.77,1.69,-1.36,-4.470588,0.12579,0.60418,6.97,,6.89,2.5621576,44.42801,,6.97,6.02,6.97,6.89,6.97,0.025,0.0274,3.12,-3.38,4.767355,0.7,,2.38,1.63,3.8,0.05,,,-3.38,-0.72,,94.0,,,0.0,2.83,4.14,,,50.81,,,6.78,6.74,3.8,50.91,3.0,0.25,3.09,,
ENSV,-0.6104999999999999,1.0307,-0.3174603,4730000000.0,-0.11789999999999999,-0.754,0.2,0.5,-0.24100000000000002,-0.258,-0.051,-15500000000.0,0.16190000000000002,0.0,0.249,-0.1061,8490000000.0,,0.42100000000000004,0.09519999999999999,-0.13,0.0983,-0.1841,-0.3721,,,,-0.068,0.10060000000000001,-0.0558,-0.0501,23400000000.0,-0.667,-0.053,0.15509713,0.0834,45950000000.0,55350000000.0,0.1541,2.136008,0.1512,-0.173,0.1596,0.1494,-6.923,2.069,0.14465715,0.39,0.075,-0.11,-1.3809091,0.16194001,0.33019,0.1596,-0.03,0.1722,,0.3570516,-0.68117,0.1596,0.1494,0.1596,0.1722,0.1596,0.069699995,0.0887,2.32,-0.287,0.16004348,0.02,2.27,-0.17,0.01,0.1,,,,-0.28,-0.06,,186.0,,,,,28.28,,,0.48,,,0.19,0.17,0.1,55.31,2.5,5.71,0.7,,
FCEL,-0.3886,8.4273,,14280000000.0,-0.1641,0.599,0.15,0.425,0.40399999999999997,0.8009999999999999,-0.355,-108800000000.0,0.001,0.0,0.23800000000000002,0.9954999999999999,510050000000.0,-0.82,0.5396,-0.2465,-0.061399999999999996,-0.0404,-0.1474,5.6625,,-0.28,-1.5219999999999998,-0.327,-0.1292,0.0042,-0.18100000000000002,64900000000.00001,-0.17600000000000002,-0.196,0.15509713,0.218,227140000000.0,239370000000.0,2.15,2.147714,2.16,0.408,2.28,2.12,-35.177,11.875,2.642857,3.5,0.23,-0.23,-9.304348,0.052649997,0.09653,2.19,-0.38,2.56,5.2450986,7.8914914,-1.6241701,2.28,2.12,2.19,2.56,2.19,0.2069,0.2069,3.17,-0.558,2.2763767,0.26,2.19,0.44,0.23,2.7,2.11,,,-1.43,-0.06,,301.0,,,1.92,5.95,11.62,,,11.87,,,2.38,2.62,1.7,56.95,3.2,3.55,2.91,2.5,
