,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,shortPercentOfFloat,regularMarketPrice,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,trailingPE,fiveYearAvgDividendYield,dividendYield,pegRatio,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Gross Margin,52W Low,Sales Q/Q,EPS Q/Q,Avg Volume,SMA20,SMA50,SMA200,Sales past 5Y,Oper. Margin,Profit Margin,EPS next 5Y,Dividend %,Payout
TGI,6.5,6.63,7.975,7.78,6.5,7.1158824,6.63,2.636566,6.555,6.555,7.74,29.38,3.02,7.71,7.78,-0.7452978,-20.141,0.0624,1.03813,-6.35,0.11441445,,0.01481,2.05,0.105,6.63,0.15065172,17.133333,0.729,7.841,0.45,1.15,0.018461538,0.12,0.16,0.78,0.025799999,-0.121400006,,,383030000000.0,0.1862,0.013000000000000001,51860000000.0,0.0649,0.0,51210000000.0,0.0708,-323500000000.0,0.8690000000000001,0.0635,-0.2426,0.914,-0.1389,0.1843,-0.122,-0.6956,0.43799999999999994,-0.6949,-0.162,-0.7376,1.5530000000000002,,0.09630000000000001,0.0383,-0.41479999999999995,1.9569999999999999,2670000000.0,0.051,-0.057,0.205,-0.322,1770000000.0,-0.1144,0.0208,-0.086,-0.121,
TRVN,1.78,1.86,1.3297971,2.25,1.78,2.0805883,1.86,2.827201,1.83,1.83,2.08,3.68,0.46,2.08,2.25,0.7871486,0.435,0.1035,0.20526,-0.274,0.11441445,4.781609,0.030639999,0.65,0.104399994,1.86,8831.948,-10.947369,6052.684,-6.997,-0.19,,,,,,,,,,306380000000.0,0.1685,0.003,131630000000.0,0.23079999999999998,0.0,130440000000.0,-0.12240000000000001,-27000000000.0,0.153,0.10439999999999999,0.5639,0.35200000000000004,0.1182,2.4667,-0.516,1.1976,-0.725,1.4735,0.331,-0.43479999999999996,3.5217,-0.10099999999999999,0.161,0.0484,0.7843000000000001,0.136,30000000.0,,,,,9980000000.0,,,,,
VERO,2.11,2.14,3.6225724,2.56,2.11,2.8214705,2.14,,2.03,2.03,2.49,10.409995,2.03,2.45,2.56,-0.7884711,,0.0083,0.73833,,0.11441445,,0.00923,2.9,0.0168,2.14,1.0994229,,1.626,-4.442,,,,,,,,-0.99764997,,,100720000000.0,0.1564,0.001,33320000000.0,-0.0861,,14570000000.0,-0.17010000000000003,-88600000000.0,0.7559999999999999,0.022799999999999997,-0.402,0.629,0.3043,-0.23989999999999997,-0.684,-0.7465999999999999,-2.6,-0.48090000000000005,,-0.7656000000000001,0.1902,0.6809999999999999,-0.0915,-0.1598,-0.4286,0.625,133600000000.0,-0.222,,0.701,-0.38799999999999996,,,,-0.517,-0.6629999999999999,
VXRT,5.3,6.38,5.08471,8.47,5.3,7.985,6.38,-0.042659,6.04,6.04,7.81,17.49,0.25,7.8,8.47,7.030303,0.419,0.123,0.36233002,-0.44,0.11441445,18.56802,0.01209,0.93,0.16129999,6.38,115.69894,-25.933332,68.801,-45.277,-0.3,,,,,,,-2.81501,,,766250000000.0,0.4679,0.005,109200000000.0,0.5781000000000001,-0.9894,108180000000.0,-0.1441,-21900000000.0,0.218,0.1242,2.1626,0.7020000000000001,-0.3354,5.5932,-0.447,10.9508,-0.8490000000000001,21.1969,0.32,-0.5552,29.5938,0.6890000000000001,0.1503,-0.1624,1.1026,0.14300000000000002,7800000000.0,-1.26,-0.16699999999999998,,4.0,28250000000.0,,,,,
WTTR,4.03,4.05,4.5554347,5.15,4.03,4.884706,4.05,2.854594,4.04,4.04,5.1,9.68,2.22,5.04,5.15,-0.57036245,7.349,0.0171,0.76708,-3.522,0.11441445,0.6885291,0.10106,8.99,0.028399998,4.05,0.5347652,-7.5522385,0.396,4.679,-0.67,0.05,,,,,,-0.30209,,,525580000000.00006,0.2556,0.013000000000000001,86110000000.0,0.132,0.009399999999999999,57320000000.0,-0.085,-294700000000.0,0.747,0.0308,-0.0833,-0.9309999999999999,-0.0137,0.49700000000000005,0.002,-0.40399999999999997,0.003,-0.4547,,-0.47729999999999995,1.2793,,0.0521,0.0594,-0.10640000000000001,0.8190000000000001,975600000000.0,0.023,,0.055999999999999994,-0.23199999999999998,,,,0.024,0.003,0.0
YTRA,0.559,0.59,1.0693623,0.6498,0.559,0.6987353,0.59,1.712688,0.5831,0.5831,0.66,4.37,0.543,0.65,0.6498,-0.8729977,0.967,0.0008,0.55000997,-0.228,0.11441445,0.6486039,0.19334,0.17,0.0011,0.59,,-20.906668,,,-0.03,,,,,,,-0.105059996,,,35680000000.0,0.1613,0.19329999999999997,47730000000.0,0.0405,0.0,46550000000.0,-0.12140000000000001,-11400000000.0,0.5920000000000001,0.001,-0.355,0.32,0.285,-0.5552,-0.057999999999999996,-0.8493,-0.316,-0.7951999999999999,0.066,-0.8527,0.1885,0.797,-0.0394,-0.10060000000000001,-0.6403,,98900000000.0,-0.23,0.021,0.597,-0.915,,,,-0.099,-0.075,
,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,beta,regularMarketDayLow,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,heldPercentInsiders,shortRatio,pegRatio,shortPercentOfFloat,regularMarketPrice,priceToBook,earningsQuarterlyGrowth,trailingPE,dividendRate,dividendYield,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,EPS next 5Y,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Sales past 5Y,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,SMA20,SMA50,SMA200,Payout,Avg Volume,Dividend %
AHT,1.87,1.89,7.1926813,0.64171124,2.24,1.87,3.3414285,1.2,1.89,1.511148,1.89,0.026781918,1.89,2.17,34.387352,-0.0883797,11.48,1.78,2.24,2.24,3.835,-0.33056,25.689,-0.9389535,-24.44,-3.716,0.10479999,0.57174,-38.769,0.12570786,0.06042,1.94,-0.01,0.1381,1.89,,,,,,25640000000.0,0.1551,0.044000000000000004,10310000000.0,-0.26280000000000003,0.43700000000000006,0.2983,9220000000.0,-0.4,-390600000000.0,0.391,0.11900000000000001,-0.784,1050000000.0,0.1,-0.2349,-0.5925,-0.085,-0.9305,0.05,-2.124,-0.9226000000000001,-0.14800000000000002,0.025,-0.9370999999999999,0.136,0.22,0.21350000000000002,-0.8959999999999999,-0.154,-6.638,-0.371,-0.25120000000000003,-0.4698,-0.8355,,,
CKPT,3.28,3.33,1.9238768,,4.32,3.28,2.3184285,,3.33,1.983957,3.32,182.68268,3.32,4.04,4.32,-10.025641,,1.05,3.92,4.32,134.501,,,0.31200004,-0.39,0.258,0.0295,0.12211,-0.491,0.12570786,0.3143,4.34,,0.0398,3.33,15.15504,,,,,197960000000.0,0.19210000000000002,0.02,51800000000.0,0.6292,-0.147,0.0,45350000000.0,0.8981,-22000000000.0,0.135,0.039,0.8443,1300000000.0,0.45,0.24480000000000002,1.9398,-1.01,0.4924,,-1.56,1.2732999999999999,,-1.3219999999999998,0.0209,,,2.7237999999999998,-0.96,,0.38799999999999996,,0.6297,0.7511,1.1093000000000002,,,
ELA,3.38,3.7,,,4.34,3.38,,,3.7,-0.074136,3.65,1.1748215,3.65,4.03,4.34,,,3.65,3.98,4.34,1.036,0.03912,19.231,,,,0.0083,0.011089999,,0.12570786,0.71550006,3.77,,0.0292,3.7,,-0.04,,,,112560000000.0,0.1805,0.004,26920000000.0,0.3389,0.7646999999999999,0.11939999999999999,7640000000.0,-0.10339999999999999,3600000000.0,0.083,0.0292,-0.0197,91400000000.0,3.241,2.4361,0.5647,0.13,2.3529,,0.305,1.9556,0.318,0.151,-0.3565,0.03,0.22399999999999998,2.6108999999999996,-0.019,0.046,-0.04,0.039,0.053,-0.0409,0.2834,0.0,,
EXTN,4.03,4.09,5.436739,,4.95,4.03,5.0154285,,4.09,1.105625,4.09,0.16657512,4.09,4.79,14.89,-2.8128655,,3.24,4.78,4.95,0.658,-0.14614001,4.054,-0.7012602,-1.71,10.41,0.0217,0.94816,-4.259,0.12570786,0.03504,2.71,,0.026700001,4.09,0.4620557,,,,,166470000000.0,0.1935,0.011000000000000001,32799999999.999996,0.0212,0.23,0.0,31950000000.0,-0.1333,-141000000000.0,0.8859999999999999,0.0225,-0.22039999999999998,957100000000.0,-1.8459999999999999,-0.027200000000000002,-0.2799,-0.098,-0.6413,,-0.345,-0.3857,-0.336,-0.084,-0.677,-0.08900000000000001,0.317,0.48460000000000003,-0.561,-0.086,-1.4869999999999999,-0.146,0.0207,-0.0435,-0.1606,,,
FI,2.05,2.12,2.362971,,2.44,2.05,2.3902857,,2.12,1.289297,2.062,1.0996361,2.062,2.52,5.76,-9.52,,1.66,2.37,2.44,0.583,-0.63765997,14.901,-0.6050097,-0.25,3.07,0.0074,0.47906,-1.388,0.12570786,0.57050997,3.27,0.1,0.0108,2.12,0.77524436,,,,,554490000000.0,0.161,0.036000000000000004,225850000000.0,0.057800000000000004,0.19399999999999998,-0.193,155740000000.0,-0.08810000000000001,-312100000000.0,0.52,0.010700000000000001,0.0348,489500000000.0,-1.58,0.0698,-0.156,-0.321,-0.5665,,-0.39,-0.5397,-0.247,-0.292,-0.5868,-0.128,0.249,0.4337,-0.447,-0.616,-1.251,-0.638,0.0263,0.0333,-0.20629999999999998,,,
GSM,0.4753,0.475,0.54471016,,0.5729,0.4753,0.49085715,,0.475,2.383668,0.4672,0.07017257,0.4672,0.563,1.38,-1.61,,0.35,0.54,0.5729,0.361,-0.20684999,-7.578,-0.6335878,-0.34,3.072,0.0018000001,0.29428,-1.613,0.12570786,0.57831,0.24,,0.0039,0.475,0.1781901,,,,,94460000000.0,0.1517,0.5783,169250000000.0,0.2847,,0.0,71410000000.0,0.07139999999999999,-354200000000.0,0.25,0.0043,-0.11720000000000001,1320000000.0,,-0.059500000000000004,0.25489999999999996,-0.163,-0.5853,0.2,-0.47200000000000003,-0.4177,-0.569,-0.307,-0.6145,0.027000000000000003,0.25,0.564,-0.389,-0.262,0.6970000000000001,-0.207,0.1555,0.1039,-0.1678,,1240000000.0,
HPR,0.2789,0.31,0.31550723,,0.3444,0.2789,0.3462857,,0.31,4.251393,0.29,0.19998176,0.29,0.33,1.98,-4.714286,,0.16,0.3313,0.3444,2.418,,2.214,-0.84000003,-0.07,0.01,0.0515,0.91968,-5.306,0.12570786,0.01644,2.49,0.45,0.09810001,0.31,33.000004,,,,,72200000000.0,0.1832,0.013000000000000001,211900000000.0,0.26,,0.0,111290000000.0,-0.1754,-1120000000000.0,0.682,0.09960000000000001,-0.2109,366000000000.0,-2.0,-0.2361,0.1379,-0.7,-0.8207,0.31,-1.962,-0.8047,-0.32299999999999995,0.012,-0.8332999999999999,-0.008,0.8320000000000001,1.129,-0.598,,,,0.053399999999999996,-0.038,-0.4702,,5020000000.0,
IDRA,2.01,2.11,1.8205796,,2.39,2.01,2.035143,,2.11,2.084169,2.07,,2.07,2.37,3.11,-3.4117646,,0.81,2.14,2.39,,,-0.849,-0.32550335,-0.68,-0.516,0.0218,0.27527002,-2.627,0.12570786,0.18235001,3.34,,0.028299998,2.11,,,,,,83380000000.0,0.1542,0.006,33580000000.0,0.1959,0.253,,25540000000.0,0.16,-77800000000.0,0.252,0.0301,0.1777,0.0,-0.316,-0.0025,0.9333,-1.89,-0.254,,,0.2747,0.048,4.113,-0.284,0.818,,1.8536000000000001,,,-0.8370000000000001,,0.1561,0.1393,0.2929,,,
IPOB,13.05,15.55,11.38941,,18.08,13.05,11.243571,,15.55,,14.82,,14.82,17.25,18.08,,,10.55,17.17,18.08,,,,0.20788598,,,0.0011,,,0.12570786,,0.2,,,15.55,,,,,,888010000000.0,0.3456,,37500000000.0,0.4633,,,33900000000.0,0.6007,,0.479,0.0017000000000000001,,,,4.5127,,,,,,0.6254,,,0.3173,,,0.6645,,,,,0.5508,0.5414,0.5418,,,
JNCE,8.85,8.94,5.283623,,11.7201,8.85,5.5542855,,8.94,2.105038,8.91,3.1365888,8.91,10.95,11.7201,-3.9247313,,2.79,10.85,11.7201,1.453,0.18236,7.68,1.5953081,-2.79,3.736,0.0625,0.74639,0.628,0.12570786,0.12883,13.51,,0.123900004,8.94,2.930942,,17.436304,,,356640000000.0,0.2373,0.006,34049999999.999996,0.4698,-0.153,-0.06570000000000001,30530000000.0,1.3397,21800000000.0,0.759,0.07,0.8497,119400000000.0,2.971,-0.0026,2.102,0.113,2.1831,,0.135,0.25429999999999997,0.43,0.302,0.095,,,2.9247,,,-2.873,0.182,0.7859999999999999,0.9719,0.8691,0.0,1010000000.0,
KOS,1.01,1.02,1.5336957,0.13465348,1.27,1.01,1.4928571,0.136,1.02,3.374581,1.01,0.45217675,1.01,1.24,7.55,-4.428571,,0.5,1.2,1.27,2.191,-0.36146998,5.56,-0.8453293,-0.28,1.121,0.0674,0.98775,-0.997,0.12570786,0.04642,4.25,-0.06,0.0788,1.02,1.1061552,,,0.18,0.16139999,527360000000.0,0.22769999999999999,0.008,405200000000.0,0.069,0.606,0.0029,384400000000.0,-0.2955,-401900000000.0,0.888,0.0711,-0.4833,1110000000.0,0.402,-0.0127,0.7867000000000001,-0.095,-0.8198000000000001,0.23800000000000002,-0.568,-0.7825,-0.17,0.047,-0.8358,0.11900000000000001,0.6559999999999999,1.475,-0.6779999999999999,-0.22699999999999998,,-0.361,-0.1159,-0.1963,-0.5549000000000001,,9280000000.0,0.1452
LEU,9.92,10.79,9.357681,,13.4799,9.92,13.12,,10.79,3.367892,10.5,0.5066952,10.5,12.8,19.9,5.714976,,3.2,11.88,13.4799,0.334,0.23122999,1.276,2.0712075,2.07,-31.182,0.0231,0.189,5.877,0.12570786,0.39213002,1.13,,0.0287,10.79,,,2.0129318,,,154380000000.0,0.1925,0.02,9680000000.0,0.2545,-0.4733,1.9157,6660000000.0,-0.3122,57200000000.0,0.161,0.0412,0.1066,281100000000.0,0.792,0.034,0.8228,0.127,2.6969,,-0.175,0.7195,-0.157,0.09,-0.40549999999999997,-0.16399999999999998,0.376,2.6969,6.142,0.2,2.735,0.203,0.11689999999999999,-0.049100000000000005,0.3898,0.0,,
MRNS,2.11,3.34,2.110471,,4.07,2.11,1.8565714,,3.34,1.988851,2.98,,2.98,3.09,4.07,-5.714286,,1.01,3.05,4.07,,,-2.409,0.21264362,-0.56,0.756,0.12109999,0.70287,-0.968,0.12570786,0.00625,7.34,-0.14,0.121400006,3.34,4.2328043,,,,,381280000000.0,0.5166,0.0063,99770000000.0,0.7391,0.253,0.0,82920000000.0,0.7877,-72400000000.0,0.778,0.17850000000000002,0.1073,,-0.106,0.42200000000000004,1.2222,-0.846,0.7978000000000001,0.2,-1.265,0.4815,0.145,,-0.0857,,,2.1683000000000003,,,0.336,,0.6585,0.6655,0.5274,,2000000000.0,
NCTY,0.56,0.5587,0.61210144,,0.7154,0.56,0.60885715,,0.5587,1.619843,0.5471,,0.5471,0.72,1.36,,,0.35,0.72,0.7154,,,,-0.5371901,,,0.0256,0.0018600001,,0.12570786,0.24701999,2.99,,,0.5587,,,,,,39170000000.0,0.2075,0.451,42840000000.0,0.28800000000000003,,0.0,14410000000.0,0.06860000000000001,-27900000000.0,0.009000000000000001,0.11289999999999999,-0.221,,0.569,,0.5971,-0.965,-0.4094,,0.266,-0.2586,0.337,,-0.5028,,,0.9309000000000001,-0.987,,0.305,,0.2883,0.030899999999999997,-0.064,,1580000000.0,
NEXT,2.97,2.97,1.8027174,,4.19,2.97,1.56,,2.97,0.555968,2.97,,2.97,3.43,6.78,-15.086956,,1.115,3.45,4.19,,,-11.145,-0.5232745,-0.23,0.651,0.0037,0.83495003,-0.317,0.12570786,0.09645,5.14,-12.53,0.011,2.97,5.330261,,,,,439300000000.0,0.1684,0.002,117390000000.0,0.4893,0.14800000000000002,0.0,108880000000.0,1.3605,-35700000000.0,0.845,0.0040999999999999995,0.6445000000000001,,-0.09,0.012,0.7178,-0.17600000000000002,-0.4448,0.006,-0.486,-0.4349,,,-0.4882,,,2.1121,,,-0.177,,1.1872,1.115,0.17079999999999998,,,
NVUS,0.379,1.07,0.52430433,,1.35,0.379,0.43585715,,1.07,3.656372,0.9003,,0.9003,1.04,1.45,-3.8275864,,0.25,,1.35,,,0.105,-0.5141026,-0.29,0.483,0.0109,0.35111,-1.182,0.12570786,0.045879997,0.82,0.01,0.013300001,1.07,2.2981367,,,,,21500000000.0,1.9287999999999998,0.045899999999999996,16980000000.0,1.8608000000000002,0.633,0.0,14150000000.0,1.5353999999999999,-17800000000.0,0.354,0.0149,1.0563,,0.131,0.11259999999999999,2.4365,-1.4140000000000001,0.406,,-1.621,0.9138,0.321,,-0.2345,,,3.44,,,0.563,,1.7167,1.4553,1.0358,,,
OAS,0.4048,0.4399,0.6497101,,0.5749,0.4048,0.6242857,,0.4399,3.72408,0.4247,0.11580947,0.4247,0.524,4.76,-2.886111,,0.24,0.524,0.5749,2.081,,3.371,-0.90074444,-0.18,-2.365,0.2305,1.02995,-14.115,0.12570786,0.019129999,3.97,-0.57,0.368,0.4399,,,,,,182310000000.0,0.2833,0.015,317630000000.0,0.0484,-0.258,0.0,295020000000.0,-0.2871,-4459900000000.0,0.534,0.25079999999999997,-0.5776,1520000000.0,-2.7439999999999998,-0.3411,0.23600000000000002,-0.863,-0.8918,0.1011,-3.0180000000000002,-0.8406,-0.158,0.03,-0.8933,0.083,0.602,1.1645999999999999,-0.6859999999999999,,-3.156,,-0.079,-0.19820000000000002,-0.5891,,21710000000.0,
PSTV,2.44,3.32,2.0288405,,3.5,2.44,2.6748571,,3.32,0.540691,2.85,2.0680063,2.85,2.93,,-0.510101,,0.93,2.92,3.5,1.29,-0.24209,-2.279,-0.69308174,-5.94,0.056,0.0642,0.18843001,-30.616,0.12570786,0.00745,0.61,,0.0642,3.32,54.10714,,,,,13180000000.0,0.2418,0.008,4050000000.0,0.1477,-0.324,,3980000000.0,0.0236,-2000000000.0,0.10400000000000001,0.0689,0.436,6300000000.0,0.968,0.0022,1.7297,-0.099,-0.6742,,-1.76,0.2625,,-0.295,-0.8106,-0.016,,2.2546,-0.33299999999999996,-0.685,0.9109999999999999,-0.331,0.1634,0.1797,0.4307,,,
RRD,1.17,1.25,1.2502174,0.07692308,1.48,1.17,1.2617143,0.09,1.25,2.746934,1.22,0.016815018,1.22,1.45,4.83,3.914286,7.66,0.72,1.36,1.48,0.348,-0.02537,5.375,-0.6377709,0.35,-6.702,0.0172,0.81454,-2.067,0.12570786,0.027609998,1.75,-0.38,0.0211,1.25,,,,,,96980000000.0,0.1709,0.016,72200000000.0,0.1709,-0.4167,-0.6496,69080000000.0,0.022400000000000003,-147600000000.0,0.778,0.0178,0.0703,5820000000.0,-4.534,-0.0155,-0.2126,-0.044000000000000004,-0.6119,-0.05,0.373,-0.6531999999999999,-0.147,0.028999999999999998,-0.7164,-0.026000000000000002,0.193,0.9028,-0.23,0.008,-7.069,-0.025,0.0834,0.1081,-0.2816,,1210000000.0,
TTNP,0.1846,0.195,0.27695653,,0.2344,0.1846,0.25800002,,0.195,0.785395,0.1926,4.3322253,0.1926,0.2149,0.59,-1.5357143,,0.14,0.2148,0.2344,4.013,,-1.207,-0.4705882,-0.14,0.016,0.0722,0.056789998,-0.281,0.12570786,0.00301,1.77,,0.072399996,0.195,13.4375,,,,,21070000000.0,0.16469999999999999,0.003,95660000000.0,0.075,-0.154,0.0,95380000000.0,-0.23190000000000002,-17000000000.0,0.061,0.0736,-0.373,4800000000.0,0.079,-0.1109,-0.04019999999999999,-1.7930000000000001,-0.4154,,,0.10769999999999999,0.032,-3.077,-0.6349,-0.002,0.764,0.5141,1.6,,0.872,,-0.049800000000000004,-0.21030000000000001,-0.179,,6880000000.0,
XELA,0.3775,0.46,0.37133732,,0.555,0.3775,0.4709972,,0.46,2.242461,0.4311,0.04660978,0.4311,0.4499,1.63,-0.948125,,0.086,0.4526,0.555,1.125,-0.34487998,18.516,-0.7224265,-0.48,-5.422,0.0358,0.76142997,-3.397,0.12570786,0.14468001,0.83,,0.17729999,0.46,,,,,,68820000000.0,0.20559999999999998,0.1447,147510000000.0,0.15710000000000002,,0.0,60700000000.0,-0.0843,-497600000000.0,0.625,0.08689999999999999,-0.1572,1440000000.0,-1.996,-0.19399999999999998,1.6771,-0.37,-0.6629,,0.727,0.11630000000000001,,-0.455,-0.7208,,0.205,4.2919,-0.213,-0.243,-0.15,-0.34600000000000003,0.0722,-0.0608,0.2465,,10820000000.0,
,previousClose,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,beta,regularMarketDayLow,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,shortPercentOfFloat,regularMarketOpen,open,pegRatio,regularMarketPrice,trailingPE,earningsQuarterlyGrowth,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Sales past 5Y,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,SMA20,SMA50,SMA200,Avg Volume,EPS next 5Y,Payout
AXGN,10.75,10.159637,13.49,10.75,11.447715,0.734113,12.14,5.050229,12.14,13.06,18.84,-35.10811,7.16,13.03,13.49,3.56,-0.28035998,-12.987,-0.23159397,-0.37,2.992,0.0298,0.88807,-0.73,0.13119566,4.3415775,0.03601,4.59,0.0364,,,,,,,445590000000.0,0.214,0.032,39820000000.0,-0.0537,0.456,0.0,38630000000.0,-0.066,-28900000000.0,0.8340000000000001,0.030899999999999997,0.0897,103100000000.0,-0.231,-0.0252,0.0782,-0.185,-0.2299,-0.226,-0.39909999999999995,0.057999999999999996,-0.23800000000000002,-0.3073,0.447,0.7879999999999999,0.8226,-0.172,-0.293,-0.135,-0.28,0.1534,0.1359,0.1149,,,
GME,7.09,4.6522465,9.04,7.09,5.3937144,1.3835,7.06,0.10126535,7.06,8.57,9.04,-67.30769,2.57,8.56,9.04,0.148,-0.060650002,-13.555,0.54130447,-0.13,5.403,0.8874,1.5262101,-4.902,0.13119566,1.6194707,0.11168,10.68,2.5444,7.03,7.03,0.07,7.03,,,472690000000.0,0.2144,0.075,65000000000.0,-0.07919999999999999,0.985,-0.001,48480000000.0,0.4926,-334400000000.0,0.95,,0.528,5600000000.0,0.337,-0.106,0.6761,-0.126,0.6299,-0.6729999999999999,0.1661,-0.287,-0.424,0.0189,-0.07,0.281,2.3502,-0.267,-0.028999999999999998,0.5870000000000001,-0.061,0.3926,0.7188,0.8101999999999999,5100000000.0,,
GOGO,9.61,3.1604347,11.6,9.61,5.2944283,1.578037,9.6,1.3745929,9.6,11.4,11.6,-6.688235,1.33,11.39,11.6,2.65,-0.30699,19.229,0.34971905,-1.7,-6.771,0.23979999,0.72676,-2.659,0.13119566,,0.38055,6.12,0.3816,9.8887,9.8887,-0.27,9.8887,,,836930000000.0,0.1863,0.006999999999999999,81760000000.0,0.060700000000000004,0.509,4.2823,53130000000.0,1.7775,-216000000000.0,0.49,0.3839,2.3719,703600000000.0,0.129,-0.0968,3.4907,-0.182,0.4561,0.47,0.5015999999999999,-0.127,-0.032,0.0674,0.154,0.457,7.5716,-0.5479999999999999,-0.132,-0.011000000000000001,-0.307,0.6847,1.4277000000000002,1.9508,5970000000.0,0.1,
GSM,0.5474,0.54289854,0.64,0.5474,0.492,2.383668,0.5453,0.08124841,0.5453,0.635,1.3,-1.8641177,0.35,0.633,0.64,0.361,-0.20684999,-7.578,-0.5669291,-0.34,3.072,0.0018000001,0.29428,-1.613,0.13119566,0.20631512,0.57831,0.24,0.0039,0.5453,0.5453,,0.5453,,,94460000000.0,0.15380000000000002,0.5783,169250000000.0,0.2847,,0.0,71410000000.0,0.07139999999999999,-354200000000.0,0.25,0.0043,-0.11720000000000001,1320000000.0,,-0.059500000000000004,0.25489999999999996,-0.163,-0.5853,-0.47200000000000003,-0.4177,-0.569,-0.307,-0.5552,0.027000000000000003,0.25,0.8046,-0.389,-0.262,0.6970000000000001,-0.207,0.3301,0.2759,-0.039,1250000000.0,0.2,
HTBX,1.12,1.0501449,1.4,1.12,1.5757142,0.43311,1.12,60.090233,1.12,1.3,4.3,-6.0909095,0.2,1.29,1.4,33.654,,-6.703,0.93103456,-0.22,0.434,0.0499,0.1356,-0.383,0.13119566,3.0875578,0.060370002,0.43,0.0515,1.13,1.13,,1.13,,,170960000000.0,0.1696,0.0604,87930000000.0,-0.0175,0.0,0.0,75530000000.0,-0.3293,-20300000000.0,0.13,0.1036,0.4675,3500000000.0,0.332,0.1718,0.8561,-0.5539999999999999,0.898,-0.773,1.3578999999999999,0.495,-1.518,-0.6953,,,5.717899999999999,1.0,,0.647,,0.0472,-0.22440000000000002,0.5631,31800000000.0,,
ICD,2.43,4.391232,3.13,2.43,2.9274285,7.483835,2.4002,0.10133979,2.4002,2.9,35.8,-0.30246913,1.08,2.89,3.13,0.95,-0.55844,6.49,-0.9276786,-9.72,60.605,0.0172,0.74001,-22.038,0.13119566,0.04851085,0.07853,0.32,0.0228,2.43,2.43,-0.03,2.43,,,12930000000.0,0.1925,0.011000000000000001,5180000000.0,-0.0202,0.11199999999999999,-0.0168,4400000000.0,-0.19269999999999998,-83900000000.0,0.4,0.0203,-0.5041,150200000000.0,-0.917,-0.2048,0.49079999999999996,-0.16699999999999998,-0.935,-0.258,-0.8781,0.134,-0.099,-0.9233,0.237,0.252,1.6831,-0.595,-0.46799999999999997,0.259,-0.5579999999999999,0.08960000000000001,-0.0703,-0.6336999999999999,,0.07,
KODK,6.23,4.2508698,11.4,6.23,10.143429,5.858974,8.14,0.5672873,8.14,8.58,,,1.5,8.57,11.4,0.594,-0.16281,6.81,1.298893,,-0.686,0.2185,0.27696,-4.683,0.13119566,,0.65433997,0.62,0.3754,9.44,9.44,,9.44,,,435790000000.0,0.374,0.106,75680000000.0,0.1266,,0.0282,57170000000.0,-0.261,-210000000000.0,0.146,0.2892,1.5533000000000001,1220000000.0,-2.801,0.0722,2.5,0.07,1.2490999999999999,0.897,0.3398,0.033,-0.633,-0.8573000000000001,-0.10099999999999999,0.146,4.7067000000000005,-0.08199999999999999,-0.084,-5.7139999999999995,0.079,0.3045,0.1048,1.1467,23130000000.0,-0.12,0.0
