,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,shortPercentOfFloat,regularMarketPrice,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,trailingPE,fiveYearAvgDividendYield,dividendYield,pegRatio,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Gross Margin,52W Low,Sales Q/Q,EPS Q/Q,Avg Volume,SMA20,SMA50,SMA200,Sales past 5Y,Oper. Margin,Profit Margin,EPS next 5Y,Dividend %,Payout
AQB,2.99,3.005,2.543145,3.7,2.99,3.1205714,3.005,1.013307,3.005,2930.7114,3.005,3.66,4.549,-15.291667,1.517,3.65,3.7,1622.646,-7.851,-0.019672096,-0.24,0.99,0.0095999995,0.58662,-0.51,0.15022206,3.7070708,0.14945,0.89,0.0147,3.005,,,,,,,,,,159310000000.0,0.2274,0.01,32100000000.0,0.2877,0.314,20870000000.0,0.4622,-13100000000.0,0.43200000000000005,0.019799999999999998,0.4008,60000000.0,0.17300000000000001,0.0177,0.8079000000000001,-0.365,0.2832,-0.445,0.6912,0.154,-0.46399999999999997,-0.19329999999999997,1.4199000000000002,-0.9309999999999999,0.419,0.31,0.1341,0.5225,,,,,,,,,
ARTL,0.74,0.7177,1.1546956,0.97,0.74,1.0821714,0.7177,1.046382,0.68,,0.68,0.94,4.423,-0.55640244,0.61,0.9,0.97,,-16.112,-0.6851064,-1.64,0.864,0.0152,0.00235,-1.35,0.15022206,1.0561342,0.14553,0.13,0.0178,0.7177,,,,,,,,,,4250000000.0,0.2141,0.071,3470000000.0,-0.0642,0.006,3350000000.0,-0.2812,-4500000000.0,0.003,0.020499999999999997,-0.349,,-3.361,,-0.1765,-0.909,-0.5971,-1.031,-0.6673,,,-0.7968999999999999,0.4728,,-0.638,-0.1085,-0.2025,-0.4036,0.0,,,,,,,,
CODX,8.24,8.9,15.292898,11.89,8.24,18.487286,8.9,-1.670797,8.2,13.424307,8.2,11.65,30.99,4.4827585,0.846,11.52,11.89,8.27,26.39,6.847619,2.61,1.192,0.2368,0.09172,0.351,0.15022206,9.815435,0.24211,1.59,0.2368,8.9,33.333332,0.31422,,,,,,,,370890000000.0,0.4199,0.2421,27580000000.0,0.07339999999999999,0.42460000000000003,25080000000.0,-0.5453,8100000000.0,0.29100000000000004,0.2651,-0.2755,25700000000.0,0.264,0.9843999999999999,0.6981,0.514,10.0377,0.562,12.069700000000001,-0.226,-3.467,-0.6225,12.8249,454.449,6.487,-0.19210000000000002,-0.3655,0.0583,-0.0129,0.654,0.305,0.314,0.0,3430000000.0,,,
GTT,5.32,5.45,8.457826,6.96,5.32,5.6014285,5.45,1.387402,4.96,0.21250069,4.96,6.16,15.77,-3.9677422,3.94,5.56,6.96,2.303,10.437,-0.45154637,-1.55,3.367,0.1741,0.95703006,-2.859,0.15022206,1.8265518,0.19500999,24.18,0.21270001,5.45,,-0.09511,-0.08,,,,,,,364510000000.0,0.156,0.079,57260000000.0,0.2349,0.436,42610000000.0,0.1121,-161900000000.0,0.8370000000000001,0.2403,-0.3059,1700000000.0,0.608,0.1199,-0.46659999999999996,-0.034,-0.3301,-0.58,-0.4581,-0.172,0.034,-0.61,0.5609000000000001,-0.057,-1.976,0.2457,-0.014499999999999999,-0.3446,0.0,0.449,0.054000000000000006,-0.095,,,0.25,0.528,
LUB,1.05,1.91,1.1619565,2.33,1.05,1.1345714,1.91,1.654403,1.65,0.2676011,1.65,2.06,2.65,27.750002,0.46,2.07,2.33,0.429,-9.282,-0.31372553,0.08,2.152,0.0025,0.37548,-1.532,0.15022206,1.0315986,0.35075,3.53,0.0033000002,1.91,,-0.18179001,,,,,,,,66599999999.99999,1.1143,0.049,30400000000.0,0.9304000000000001,,19650000000.0,0.8814,-46200000000.0,0.355,0.004,0.3059,254100000000.0,0.48700000000000004,0.0104,0.21309999999999998,-0.235,0.4416,-0.526,0.0091,-0.556,-0.065,-0.1623,3.8261000000000003,-0.746,-3.635,0.9890000000000001,0.8805,0.47759999999999997,0.0,0.639,-0.158,-0.182,,,0.07,-0.039,
MICT,4.58,5.3,1.8349057,6.37,4.58,3.7762856,5.3,1.028428,,,,5.93,8.45,-148.25,0.38,5.81,6.37,,-23.397,6.882961,-0.04,-0.361,0.015,0.24023001,-0.327,0.15022206,,0.25765,1.02,0.024,5.3,,,,,,,,,,75370000000.0,0.2948,0.233,11100000000.0,0.2725,0.871,3860000000.0,0.6472,-3600000000.0,0.141,0.0464,4.156499999999999,0.0,0.518,-0.0138,5.0154000000000005,-0.375,8.5599,-1.0,5.6607,-0.015,-0.703,-0.2982,14.6053,,1.114,0.3873,0.8227,2.7619,-0.2241,,,,,1070000000.0000001,,-0.575,
NETE,6.34,6.57,5.824348,7.78,6.34,11.138857,6.57,1.375696,6.1,0.5645479,6.1,7.6,20.08,,1.47,7.66,7.78,0.607,-247.073,0.18949354,-0.06,0.678,0.0112,0.06616,-1.32,0.15022206,11.415929,0.1633,0.08,0.0126,6.57,,-0.087139994,,,,,,,,36760000000.0,0.2208,0.021,4179999999.9999995,0.15869999999999998,0.494,3880000000.0,-0.2932,-5500000000.0,0.059000000000000004,0.0132,2.0543,63000000000.0,-0.252,-0.0106,2.3077,-0.249,0.41240000000000004,-1.272,1.4112,0.433,-0.512,-0.6145,4.2581999999999995,-0.17,0.7879999999999999,-0.0571,-0.3064,0.5181,0.0,0.153,-0.07400000000000001,-0.087,,1730000000.0,,0.251,
NEXT,1.33,1.33,1.8813406,2.6,1.33,1.4952857,1.33,0.555968,1.33,,1.33,2.2,6.78,-10.130434,1.115,2.2,2.6,,-12.434,-0.7905512,-0.23,0.651,0.0034,0.83495003,-0.317,0.15022206,3.5791087,0.09645,2.56,0.010199999,1.33,,,-8.02,,,,,,,274870000000.0,0.7519,0.002,117390000000.0,0.7519,0.14800000000000002,108880000000.0,0.6069,-35700000000.0,0.845,0.0038,-0.0292,,-0.09,0.0129,0.10949999999999999,-0.17600000000000002,-0.6302,-0.486,-0.6204999999999999,,,-0.6563,1.0897,,-0.177,0.6847,0.43200000000000005,-0.2407,0.0,,,,,,0.006,,
PER,0.3249,0.38,0.4989855,0.41,0.3249,0.40885714,0.38,1.377926,0.33,1.3187104,0.33,0.4003,1.75,1.0763159,0.25,0.4001,0.41,0.905,,-0.7987422,0.38,0.482,0.0053,0.00772,0.243,0.15022206,0.84854776,0.25,0.81,0.0069999998,0.38,1.6831276,0.80651003,,0.50784856,0.9959,0.165,0.05,31.21,0.14770001,24920000000.0,0.2588,0.25,52500000000.0,-0.0066,,39380000000.0,-0.0262,12700000000.0,0.006999999999999999,0.006999999999999999,-0.3675,16600000000.000002,-0.317,0.0623,-0.4157,0.19,-0.7491,0.19,-0.5195000000000001,-0.325,0.161,-0.7663,0.636,-0.9990000000000001,-1.0,0.024700000000000003,-0.0191,-0.3567,0.0,0.948,,0.768,1.047,,0.1,-0.3,0.1222
SPRO,8.96,9.26,10.963877,14.3,8.96,12.035,9.26,1.69128,8.9,23.627312,8.9,13.2,14.483,-3.7774565,5.25,13.01,14.3,10.574,-1.466,-0.23744678,-3.46,3.508,0.0506,0.54067004,-4.311,0.15022206,3.7257698,0.2009,8.73,0.0631,9.26,,,-0.07,,,,,,,282830000000.0,0.4587,0.003,20630000000.0,0.2024,0.062,18130000000.0,0.0069,-83500000000.0,0.5589999999999999,0.059000000000000004,0.032400000000000005,11700000000.0,-0.289,0.0233,0.4852,-0.784,0.1775,-1.032,0.3593,,-0.847,-0.09759999999999999,1.4894999999999998,-0.22699999999999998,-0.14,0.1246,0.0509,0.2181,-0.044800000000000006,,,,,,0.369,,
TCON,3.1,2.9,1.9533478,3.85,3.1,1.8617142,2.9,1.947045,2.9,,2.9,3.8,5.47,-1.927835,0.95,3.69,3.85,,-0.96,-0.37875748,-1.94,0.386,0.0033000002,0.25344,-3.976,0.15022206,9.689119,0.02803,0.05,0.0033000002,2.9,,,,,,,,,,40060000000.0,0.2065,0.015,13180000000.0,0.9788,0.317,6520000000.0,1.0,-17600000000.0,0.146,0.0043,0.7642,,0.424,0.22579999999999997,1.1011,-0.996,-0.2667,-5.625,0.5982999999999999,-0.049,,-0.316,2.9368,,0.67,0.9601999999999999,0.9864,0.5783,,,,,,1190000000.0,,,
